Date,Location,Raw,Speakers,Hosts,Issue date
JANUARY 31,Watford - Kingham Memorial Hall,"Watford - Kingham Memorial Hall - Public meet- ing - Chair , Mr. Nathaniel Micklem , K.C. , J.P. Mr. Malcolm Mitchell , Miss Dora Mason","['Mr. Malcolm Mitchell', 'Miss Dora Mason', 'Mr. Nathaniel Micklem, K.C., J.P.']",,"JANUARY 31 , 1913"
JANUARY 31,Sevenoaks - Club Hall,"Sevenoaks - Club Hall- "" At Home "" -Chair , Canon Beanlands - Lady Betty Balfour","['Lady Betty Balfour', 'Canon Beanlands']",,"JANUARY 31 , 1913"
JANUARY 31,"Newcastle - on - Tyne - 27 , Ridley Place","Newcastle - on - Tyne - 27 , Ridley Place - Debate : "" The New Labour Policy of the N.U. will hasten the granting of the Franchise to Women "" -Chair , Miss Newbigin : For , Misses Paterson and Ericsson ; Against , Dr. Campbell , Miss Herz","['Misses Paterson', 'Ericsson', 'Dr. Campbell', 'Miss Herz', 'Miss Newbigin']",,"JANUARY 31 , 1913"
JANUARY 31,Grimsby - Hainton Avenue Schoolroom,"Grimsby - Hainton Avenue Schoolroom - Chair , The Rev. W. Bott , M.A. - Mrs . Corbett Ashby","['The Rev. W. Bott, M.A.', 'Mrs. Corbett Ashby']",,"JANUARY 31 , 1913"
JANUARY 31,"Wakefield - Institute , Wood Street","Wakefield - Institute , Wood Street - Miss Royden- Chair , Canon Welch","['Miss Royden', 'Canon Welch']",,"JANUARY 31 , 1913"
FEBRUARY 1,Carlisle Richmond Hall,"Carlisle Richmond Hall - Mrs. Bardsley "" At Home "" Miss Helen Fraser .","['Mrs. Bardsley', 'Miss Helen Fraser']",,"JANUARY 31 , 1913"
FEBRUARY 3,Llandudno,"Llandudno Mrs. Eakin , Bodlondels- "" At Home "" Miss A. Maude Royden","['Miss A. Maude Royden', 'Mrs. Eakin']",,"JANUARY 31 , 1913"
FEBRUARY 3,Workington - Lister's Hall,"Workington - Lister's Hall - Public meeting - Chair , The Rev. S. P. L. Curwen - Miss Helen Fraser","['The Rev. S. P. L. Curwen', 'Miss Helen Fraser']",,"JANUARY 31 , 1913"
FEBRUARY 3,Manchester - York Street Temperance Hall,Manchester - York Street Temperance Hall - Hulme Suffrage Club - Mrs . Müter Wilson,['Mrs. Müter Wilson'],,"JANUARY 31 , 1913"
FEBRUARY 3,Cottenham - Schoolroom,"Cottenham - Schoolroom - Mrs . Rackham - Chair , The Rev. R. P. Moline","['Mrs. Rackham', 'The Rev. R. P. Moline']",,"JANUARY 31 , 1913"
FEBRUARY 3,Hadham - Public Hall,Hadham - Public Hall - The Lady Frances Balfour,['The Lady Frances Balfour'],,"JANUARY 31 , 1913"
FEBRUARY 4,Bristol Dorridge,"Bristol Dorridge = Lecture Jewellery , gold , and silverwork - Mr . Sidney Wilson",['Mr. Sidney Wilson'],,"JANUARY 31 , 1913"
FEBRUARY 4,Much West Auckland,"Much West Auckland - Mrs . Abbott , Mrs. Dring , and others","['Mrs. Abbott', 'Mrs. Dring']",,"JANUARY 31 , 1913"
FEBRUARY 4,High Wycombe - Guildhall,"High Wycombe - Guildhall - Address on "" The White Slave Traffic "" -Chair , Mrs. F. C. J. Cross - Miss Abadam","['Mrs. F. C. J. Cross', 'Miss Abadam']",,"JANUARY 31 , 1913"
FEBRUARY 4,"Manchester - Suffrage office , 16 , Deansgate","Manchester - Suffrage office , 16 , Deansgate - Lecture by Miss Leaf ( Hon . Press Sec . , N.U.W.S.S. ) , "" Press Work in the National Union of Women's Suffrage Societies """,['Miss Leaf'],,"JANUARY 31 , 1913"
FEBRUARY 4,"Solihull , Forest Hotel , Victoria Rooms","Solihull , Forest Hotel , Victoria Rooms Lecture by Canon Talbot , "" Macbeth """,['Canon Talbot'],,"JANUARY 31 , 1913"
FEBRUARY 4,Birmingham Town Hall,"Birmingham Town Hall - Joint meeting with the Conservative and Unionist W.F.A.- Lady Selborne , Mr. H. Baillie Weaver , Miss Maude Royden , Dr. Stanton Coit","['Lady Selborne', 'Mr. H. Baillie Weaver', 'Miss Maude Royden', 'Dr. Stanton Coit']",,"JANUARY 31 , 1913"
FEBRUARY 4,"Camberley - High Street , Darracott's Tea Rooms","Camberley - High Street , Darracott's Tea Rooms- Speaker , Mrs. Dempster ; Chair , Mrs. Basset","['Mrs. Dempster', 'Mrs. Basset']",,"JANUARY 31 , 1913"
FEBRUARY 5,"Leeds - 9 , Park Lane","Leeds - 9 , Park Lane "" At Home "" -Mrs . Renton ( West Riding Organiser )",['Mrs. Renton'],,"JANUARY 31 , 1913"
FEBRUARY 5,"Gateshead - Suffrage office , 115 , High West Street","Gateshead - Suffrage office , 115 , High West Street",,,"JANUARY 31 , 1913"
FEBRUARY 5,West Bromwich - Public Library Lecture Room,"West Bromwich - Public Library Lecture Room- Papers by members on Mary Wolstone- craft , Elizabeth Fry , Lydia Becker , Florence Nightingale - Chair , Pearce",,,"JANUARY 31 , 1913"
FEBRUARY 5,"Manchester - Oakholme , Alexandra Park","Manchester - Oakholme , Alexandra Park - Whist Drive Hostess , Mrs. Hiller",,['Mrs. Hiller'],"JANUARY 31 , 1913"
FEBRUARY 5,"Leamington - Birch's Music Rooms , Parade","Leamington - Birch's Music Rooms , Parade - Meeting Franchise Club -Social meeting for women - Mrs . Temperley , on "" Frances Willard , Pioneer of W.S. and F. Temperance",['Mrs. Temperley'],,"JANUARY 31 , 1913"
FEBRUARY 5,Hetton - le - Hole - Miners ' Hall,"Hetton - le - Hole - Miners ' Hall - Dr . Ethel Williams , Miss C. M. Gordon","['Dr. Ethel Williams', 'Miss C. M. Gordon']",,"JANUARY 31 , 1913"
FEBRUARY 6,Gateshead - St . James ' School,Gateshead - St . James ' School - Social meeting - Miss Sheard,['Miss Sheard'],,"JANUARY 31 , 1913"
FEBRUARY 6,Sibford,"Sibford - Public meeting - Chair , Dr. Routh - Mrs . Rackham , Mr. A. Gillett","['Dr. Routh', 'Mrs. Rackham', 'Mr. A. Gillett']",,"JANUARY 31 , 1913"
FEBRUARY 7,"Bristol - Whatley Hall , Clifton","Bristol - Whatley Hall , Clifton - Annual meeting- Miss Cistley Corbett",['Miss Cistley Corbett'],,"JANUARY 31 , 1913"
FEBRUARY 7,Swansea - Minor Albert Hall,"Swansea - Minor Albert Hall - Annual meeting- Chair , Miss Dillwyn . Speaker , Miss Baretti","['Miss Dillwyn', 'Miss Baretti']",,"JANUARY 31 , 1913"
FEBRUARY 7,Chalbury,Chalbury - Meeting - Miss Dora Mason,['Miss Dora Mason'],,"JANUARY 31 , 1913"
JANUARY 31,LONDON - West London - Westminster Palace Hotel,"West London Reception - Westminster Palace Hotel -Chair , The Lady Frances Balfour- Mrs. F. T. Swanwick , M.A. , Miss J. H. Thomson , M.A. , Sir Laurence Gomme , L.C.C.","['The Lady Frances Balfour', 'Mrs. F. T. Swanwick', 'Miss J. H. Thomson', 'Sir Laurence Gomme']",,"JANUARY 31 , 1913"
FEBRUARY 1,"Walthamstow - The Pioneer Café , 182 , Hoe Street","Walthamstow - The Pioneer Café , 182 , Hoe Street- meeting - Miss Helen Ward",['Miss Helen Ward'],,"JANUARY 31 , 1913"
