Date,Location,Raw,Speakers,Description,Issue date
JUNE 6,BIRMINGHAM,"BIRMINGHAM - Grand Fête - Birmingham and West Midland Federation - Edgbaston Botanical Gardens - Opener , Lady Rochdale - Chair , John Osler , Esq","['Lady Rochdale', 'John Osler Esq.']",,"JUNE 6 , 1913"
JUNE 6,WOODLEY,"WOODLEY- ROMILY - Open - air Meeting in - Speakers , Mr. Fenner Brockway , Miss C. Leadley Brown","['Mr. Fenner Brockway', 'Miss C. Leadley Brown']",,"JUNE 6 , 1913"
JUNE 6,NEWBURY,"NEWBURY The Lecture Hall - Speakers , The Lady Betty Balfour , Miss Dora Mason , M.A.- Chair , Mrs. F. J. K. Cross","['The Lady Betty Balfour', 'Miss Dora Mason', 'M.A.']",,"JUNE 6 , 1913"
JUNE 6,NEWBURY,"Lecture Hall - Speakers , The Lady Betty Bal- four , Miss Geraldine Cooke , Miss Dalton ( P.S.G. ) -Chair , Mr. E. Slarwood Smith","['The Lady Betty Balfour', 'Miss Geraldine Cooke', 'Miss Dalton']",,"JUNE 6 , 1913"
JUNE 6,EDINBURGH,"EDINBURGH - 40 , Home "" -Speaker ,",[],,"JUNE 6 , 1913"
JUNE 6,JAIN,"JAIN - Oddfellows ' Hall , Meeting for Women -Chair , Mr. W. J. Mackenzie - Miss Bung on "" The Cause for Purity and Woman Suffrage","['Mr. W. J. Mackenzie', 'Miss Bung']",,"JUNE 6 , 1913"
JUNE 6,GATESHEAD,GATESHEAD - Open - air Meeting Railway Works - Miss St. John,['Miss St. John'],,"JUNE 6 , 1913"
JUNE 6,RYHOPE,"RYHOPE Outdoor , "" Guide Post "" -Miss Sheard",['Miss Sheard'],,"JUNE 6 , 1913"
JUNE 6,WOODLEY,WOODLEY - Open - air - Mr . Fennet Brackway and Miss C. Leadley Brown .,"['Mr. Fennet Brackway', 'Miss C. Leadley Brown']",,"JUNE 6 , 1913"
JUNE 7,GATESHEAD,"GATESHEAD - Garden Party - The Red House , Durham Road ( by kind permission of Mr. and Mrs. Fred Emley ) -Address by Mrs. Biltcliffe , Music , Conjuring , & c .",['Mrs. Biltcliffe'],,"JUNE 6 , 1913"
JUNE 7,BRISTOL,"BRISTOL Pilgrimage Committee , 111A , White Ladies ' Road",,,"JUNE 6 , 1913"
JUNE 7,MANCHESTER,"MANCHESTER - Open - air Meeting Victoria Park Gates , Oxford Road , Manchester - Speakers , Miss Margaret Ashton , Miss Hatton , Mr. Fenner Brockway and Councillor Longden","['Miss Margaret Ashton', 'Miss Hatton', 'Mr. Fenner Brockway', 'Councillor Longden']",,"JUNE 6 , 1913"
JUNE 7,SWINDON AND NORTH WILTS,SWINDON AND NORTH WILTS . - Visit to Highworth - Train leaves,,,"JUNE 6 , 1913"
JUNE 8,EDINBURGH,"EDINBURGH - Saughton Park , I.L.P. Meeting -Speaker , Miss Alice Low",['Miss Alice Low'],,"JUNE 6 , 1913"
JUNE 8,GRAVESEND AND NORTHFLEET,"GRAVESEND AND NORTHFLEET - Meeting of the local branch of the Independent Labour Party at the Labour Hall , London Road , Rosher- ville - Speaker , Mrs. Stanbury ( Member of the Executive Committee , N.U.W.S.S. )",['Mrs. Stanbury'],,"JUNE 6 , 1913"
JUNE 8,SEATON SLUICE,"SEATON SLUICE - Joint I.L.P. and Suffrage -Miss I. S. A. Beaver Meeting in Market Place - Chair , Mr. W. Roberts Speakers , Miss J. Brown , Mr. W. J. Ainsworth M.A.","['Miss I. S. A. Beaver', 'Miss J. Brown', 'Mr. W. J. Ainsworth']",,"JUNE 6 , 1913"
JUNE 8,DURHAM,"DURHAM Organisation Conference , I.L.P.",,,"JUNE 6 , 1913"
JUNE 8,SEAHAM,"SEAHAM - W.S.S . Outdoor - Miss C. M. Gordon ,",['Miss C. M. Gordon'],,"JUNE 6 , 1913"
JUNE 8,BRISTOL,"BRISTOL Federation Committee for Pilgrim- age at 111a , White Ladies Road",,,"JUNE 6 , 1913"
JUNE 8,BRISTOL,"BRISTOL Co - op . Guild , East Street - Speaker , Mrs. W. C. H. Cross .",['Mrs. W. C. H. Cross'],,"JUNE 6 , 1913"
JUNE 8,SHERBURN HILL,SHERBURN HILL - I.L.P. - Miss Dring,['Miss Dring'],,"JUNE 6 , 1913"
JUNE 8,LEICESTER,LEICESTER - Mrs . Price's Drawing - room Meet- ing Mrs. Cowmeadow .,['Mrs. Cowmeadow'],,"JUNE 6 , 1913"
JUNE 8,GREAT MERLING,GREAT MERLING Women's Social,,,"JUNE 6 , 1913"
JUNE 8,GATESHEAD,"GATESHEAD - Cottage Meeting Mrs Mac- Lardie's , Garden Street - Miss Sheard",['Miss Sheard'],,"JUNE 6 , 1913"
JUNE 8,EASINGTON COLLIERY,"EASINGTON COLLIERY - In the Quarry- Miss St. John , Mr. Lawson","['Miss St. John', 'Mr. Lawson']",,"JUNE 6 , 1913"
JUNE 8,HASLINGTON,HASLINGTON - Open - air - The Market Lamps -Rev . F. M. Tozer and Mrs. Chew,"['Rev. F. M. Tozer', 'Mrs. Chew']",,"JUNE 6 , 1913"
JUNE 8,MANCHESTER,"MANCHESTER Open - air - Albert Croft , Queen's Road - Mrs . Annot Robinson and Councillor Johnston","['Mrs. Annot Robinson', 'Councillor Johnston']",,"JUNE 6 , 1913"
JUNE 8,MANCHESTER,MANCHESTER - Hulme Suffrage Club - York Street Temperance Hall - Mrs . Hiller,['Mrs. Hiller'],,"JUNE 6 , 1913"
JUNE 8,MORPETH,"MORPETH - Drawing - room Meeting Miss Alice Low , Mrs. Arnsby","['Miss Alice Low', 'Mrs. Arnsby']",,"JUNE 6 , 1913"
JUNE 9,CROYDON,"CROYDON Meeting at the Office , 34 , The Arcade , High Street Speaker , Mrs. Edith Mary Moore Come and bring friends - Tea 3d .",['Mrs. Edith Mary Moore'],,"JUNE 6 , 1913"
JUNE 9,WATFORD,"WATFORD - Drawing - room Meeting for mem- bers and friends- "" Northfield , "" Langley Road -Hostess , Miss James - Speaker , Fru Anker",['Fru Anker'],,"JUNE 6 , 1913"
JUNE 9,WOKINGHAM,WOKINGHAM - Girls ' Club Room - Speaker Mrs. Robin Miaden,['Mrs. Robin Miaden'],,"JUNE 6 , 1913"
JUNE 9,SHILDON,"SHILDON - Dean Street School - Speakers , Miss Alice Low , Miss I. S. A. Bearer - Chair , R. Marton , Esq . , J.P.","['Miss Alice Low', 'Miss I. S. A. Bearer', 'R. Marton Esq., J.P.']",,"JUNE 6 , 1913"
JUNE 10,JAIN,"JAIN - Mason Hall , Public Meeting - Chair , Bailie Robertson - Miss Bury , "" Why Women Want the Vote . ""","['Bailie Robertson', 'Miss Bury']",,"JUNE 6 , 1913"
JUNE 10,LEICESTER,LEICESTER - Mrs . Evans's Drawing - room Meeting Mrs. Cowmeadow .,['Mrs. Cowmeadow'],,"JUNE 6 , 1913"
JUNE 10,WEST END,WEST END - Adult School ( Women's ),,,"JUNE 6 , 1913"
JUNE 10,NEWCASTLE-ON-TYNE,"NEWCASTLE - ON - TYNE - Federation Annual Meeting , 27 , Ridley Place",,,"JUNE 6 , 1913"
JUNE 10,WALLSEND,"WALLSEND - The Café - Miss Alice Low At Home Tilley's New Rooms - The Vis- countess Howick , Miss Alice Low , Miss C. M. Gordon","['Miss Alice Low', 'The Viscountess Howick', 'Miss C. M. Gordon']",,"JUNE 6 , 1913"
JUNE 11,YORK,YORK - Garden Party at Huntington Lodge ( by kind permission of Mrs. Meyer ),,,"JUNE 6 , 1913"
JUNE 11,WALLASEY AND WIRRAL,"WALLASEY AND WIRRAL - Members Meeting -Miss Eskrigge on "" The Pilgrimage "" -Chair , Councillor A. A. Roden","['Miss Eskrigge', 'Councillor A. A. Roden']",,"JUNE 6 , 1913"
JUNE 11,WEST BROMWICH,"WEST BROMWICH - Garden Meeting at Moor House- Address , Miss Watson - Songs Madame Slack - Pianoforte , Miss Thorrington","['Miss Watson', 'Madame Slack', 'Miss Thorrington']",,"JUNE 6 , 1913"
JUNE 11,SWINDON AND NORTH WILTS,"SWINDON AND NORTH WILTS . - Rally at Corn Exchange - Chair , Mr. Page Speakers , Mrs. Arman , Mr. Wallis , Miss Brown","['Mr. Page', 'Mrs. Arman', 'Mr. Wallis', 'Miss Brown']",,"JUNE 6 , 1913"
JUNE 11,BACUP,"BACUP - Open - air , Marian Square - Councillor Foggarty and others",['Councillor Foggarty'],,"JUNE 6 , 1913"
JUNE 11,MANCHESTER,"MANCHESTER - Open - air , Grapes Hotel , Wind- sor Bridge",,Open - air,"JUNE 6 , 1913"
JUNE 11,SALFORD,SALFORD - Mrs . Norbury and Rev. W. Whitaker,"['Mrs. Norbury', 'Rev. W. Whitaker']",,"JUNE 6 , 1913"
JUNE 11,DURHAM,"DURHAM Annual Meeting - Miss Alice Low , Miss I. S. A. Beaver","['Miss Alice Low', 'Miss I. S. A. Beaver']",,"JUNE 6 , 1913"
JUNE 11,JARROW,JARROW - Mechanics ' Institute - Miss Alice Low and Miss I. S. A. Beaver,"['Miss Alice Low', 'Miss I. S. A. Beaver']",,"JUNE 6 , 1913"
JUNE 12,OXFORD,"OXFORD - Garden Meeting ( by kind invitation of Mrs. Margoliouth ) , 88 , Woodstock Road .",,,"JUNE 6 , 1913"
JUNE 12,LEICESTER,LEICESTER - B.W.T.A. - Mrs . Cowmeadow,['Mrs. Cowmeadow'],,"JUNE 6 , 1913"
JUNE 12,GATESHEAD,"GATESHEAD - Open - air Meeting - Clark , Chap- man's Works Gates - Miss Sheard",['Miss Sheard'],,"JUNE 6 , 1913"
JUNE 12,HYLTON,"HYLTON - Outdoor , "" Old Post , "" High Street- Miss St. John , Mr. Dale","['Miss St. John', 'Mr. Dale']",,"JUNE 6 , 1913"
JUNE 12,STOCKTON,STOCKTON - Cafe Chantant - Miss Alice Low,['Miss Alice Low'],,"JUNE 6 , 1913"
JUNE 12,WESTON-SUPER-MARE,WESTON - SUPER - MARE - Town Hall Public Meeting - Miss Helen Fraser,['Miss Helen Fraser'],,"JUNE 6 , 1913"
JUNE 13,LEICESTER,LEICESTER - Miss Clephan's Drawing - room Meeting Mrs. Cowmeadow,['Mrs. Cowmeadow'],,"JUNE 6 , 1913"
JUNE 13,RYHOPE,"RYHOPE - Outdoor , "" Guide Post """,,Outdoor,"JUNE 6 , 1913"
JUNE 13,MONKSHEATON,MONKSHEATON Drawing - room Meeting- Miss Alice Low,['Miss Alice Low'],,"JUNE 6 , 1913"
JUNE 13,BISHOP AUCKLAND,"BISHOP AUCKLAND - Edgar Hall , Miss Alice Low , Miss I. S. A. Beaver","['Miss Alice Low', 'Miss I. S. A. Beaver']",,"JUNE 6 , 1913"
JUNE 6,FINCHLEY,"FINCHLEY Meeting of the Finchley Branch and the Local Women's Liberal Association , at 5 , Fenstanton Avenue , Woodhouse Road , N. Finchley - Hostess , Mrs. Macfarlane - Speaker , Miss Anna Martin , B.A. , on "" The Mother and the Vote """,['Miss Anna Martin B.A.'],,"JUNE 6 , 1913"
JUNE 6,STRAND,"STRAND - Meeting of the Women Sanitary Inspectors Suffrage Society at the Emerson Club , Buckingham Street , Strand - Speaker , Miss W. E. Elkin",['Miss W. E. Elkin'],,"JUNE 6 , 1913"
JUNE 6,N. LAMBETH,"N. LAMBETH - Open - air meeting at corner of Sanderoft Street and Kennington Road- Speakers , Mr. Malcolm Mitchell , Mrs. Richard- son","['Mr. Malcolm Mitchell', 'Mrs. Richardson']",,"JUNE 6 , 1913"
JUNE 9,WEST SOUTHWARK,"WEST SOUTHWARK - Open - air Meeting , St. George's Circus - Speakers , Mrs. Rogers , Mrs. Savory","['Mrs. Rogers', 'Mrs. Savory']",,"JUNE 6 , 1913"
JUNE 10,HAMMERSMITH,"HAMMERSMITH - Open - air Meeting in the Grove Speakers , Miss Fawcett , Miss Goddard","['Miss Fawcett', 'Miss Goddard']",,"JUNE 6 , 1913"
JUNE 11,EAST ST. PANCRAS,"EAST ST . PANCRAS - Meeting at Y.M.C.A. , 17 , Camden Road - Tea - Speaker , Mrs. Savory",['Mrs. Savory'],,"JUNE 6 , 1913"
JUNE 11,HIGHGATE,"HIGHGATE - Drawing - room Meeting , Brookfield Road , Highgate Road , N.W. - Hostess , Mrs. Stevens - Chair , Mrs. Seekings - Speaker , Miss J. H. Thomson on "" Elizabeth Fry ""","['Mrs. Stevens', 'Mrs. Seekings', 'Miss J. H. Thomson']",,"JUNE 6 , 1913"
JUNE 11,WHITECHAPEL,"WHITECHAPEL - Public Meeting , L.C.C. Schools , Commercial Street , E. - Speakers , Miss Helen Ward , and others",['Miss Helen Ward'],,"JUNE 6 , 1913"
JUNE 12,ISLINGTON,"ISLINGTON - Open - air Meeting at Packington Street , Essex Road - Chair , Miss McGrigor- Speaker , Miss Rinder","['Miss McGrigor', 'Miss Rinder']",,"JUNE 6 , 1913"
JUNE 12,HOLBORN,"HOLBORN - Meeting for Working Women , 13 , Bedford Square , W.C. - Speaker , Miss Palliser",['Miss Palliser'],,"JUNE 6 , 1913"
JUNE 13,WESTMINSTER PALACE HOTEL,"WESTMINSTER PALACE HOTEL London Society's Reception Chair , Mrs. Stanbury ( Executive Committee , N.U.W.S.S . ) - Speakers , The Lady Frances Balfour , Fru Anker , Dr. Florence Willey","['Mrs. Stanbury', 'The Lady Frances Balfour', 'Fru Anker', 'Dr. Florence Willey']",,"JUNE 6 , 1913"
JUNE 13,WALWORTH,WALWORTH - Open - air Meeting at corner of corner of Liverpool Street and Walworth Road,,Open - air Meeting,"JUNE 6 , 1913"
JUNE 15,HAMMERSMITH,"HAMMERSMITH - Discussion Class at Hamp- shire House Club , Hog Lane - Speaker , Miss O'Malley","[""Miss O'Malley""]",,"JUNE 6 , 1913"
