Date,Location,Raw,Speakers,Description,Hosts,Issue date
APRIL 25,Bristol,"Mr. Fenner Bristol - 2 , Park Avenue , Victoria","['Mr. Fenner', 'Mrs. Swanwick', 'Mr. Brockway', 'Mr. T. M. Kelsall', 'Mrs. Martin', 'Mrs. W. C. H. Cross', 'Miss Tanner', 'Miss Margaret Robertson', 'Alderman F. Sheppard', 'Mrs. Chapman', 'Hon. Mrs. Bertrand Russell', 'Miss Rosamund Smith', 'Miss Dora Mason', 'Miss Musselwhite', 'Miss V. Eustace', 'Mr. Cooper', 'Mr. Stephen Walsh', 'Mrs. Müter Wilson', 'Mrs. Annot Robinson', 'Miss Dora Mason', 'Mrs. W. C. H. Cross', 'Fru Anker', 'Lady Haworth', 'Councillor Whitefield', 'Councillor Thompson', 'Miss Margaret Robertson', 'Councillor Egerton Wake', 'Mr. W. M. Mirrlees', 'Mr. G. H. Hollies', 'Mr. J. Keir Hardie', 'Mr. J. H. Hudson', 'Mr. W. S. Tout', 'Mr. A. Lealand', 'Councillor F. Monk', 'Miss L. Smith', 'Miss I. O. Ford', 'Mr. H. Baillie Weaver', 'Miss Kirby', 'Miss Dora Mason', 'Mrs. Robie Uniacke', 'Miss Lucy Cox', 'Mrs. Swanwick', 'Mrs. H. M. Swanwick', 'Councillor T. Fox', 'Mrs. W. C. H. Cross', 'Miss Norma Smith', 'Mrs. Bennetts', 'Mrs. Hiller', 'Mr. Geo. Whittam', 'The Mayor (Captain Harwood)', 'Hon. Mrs. E. O. Fordham', 'Miss Norma Smith', 'Mrs. Brown', ""Miss N. O'Shea"", 'Miss Pickworth', 'Miss Anna Martin', 'Mrs. Stanbury', 'Mrs. Swanwick', 'Mr. Hadrill', 'Mrs. Rackham', 'Miss Sterling', 'The Rev. Llewellyn Smith', 'Mr. F. Briant', 'Miss M. Fielden', 'Miss F. M. Hewitt', 'Mr. Percy A. Ayles', 'The Rev. Edwin Grout', 'Mr. Gilbert T. Dale', 'Mr. Robert W. Bowers', 'Mrs. Bull', 'The Rev. O. Dawson', 'Mrs. Henry Fawcett', 'The Rev. T. A. Lacey', 'Mrs. Blount', 'Miss J. H. Thomson', 'Mrs. Chicky', 'Miss C. Marshall', 'Miss Muriel Matters', 'Miss Crompton', 'Mrs. Macincol', 'Miss Lumsden', 'Provost Outhwaite', 'Mrs. Ramsay', 'Mrs. Horsburgh', 'Mr. Baillie Weaver', 'Miss E. F. Stevenson', 'Dr. Ethel Williams', 'Mrs. Matthews', 'Miss I. S. A. Beaver', 'The Rev. Lewis Johnson', 'Mrs. Alan Hutchinson', 'Miss Bury', 'Mrs. Alharlton', 'Dr. G. B. Clark', 'Miss Anna Munro', 'Mrs. Pethick Lawrence', 'Mr. Israel Zangwill', 'Mr. H. D. Harben', 'Mr. H. W. Nevinson', 'Earl Russell', 'Mrs. Cecil Chapman', 'Mr. Willis', 'Miss A. Maude Royden', 'The Rev. Llewellyn Smith', 'Miss Gladys Poppleton', 'Miss M. Goddard', 'The Rev. O. Evitt', 'Mrs. Frank Bishop', 'Mrs. G. F. Abbott', 'Miss Rinder', 'Mr. Cotton', 'Dr. Goodman', 'Miss A. M. Royden', 'Mrs. Andrews', 'The Rev. C. S. Shuttleworth', 'Councillor Tonge', 'Miss Wilkie', 'Mr. T. H. Davies', 'Mrs. Roch', 'Miss Mary Fielden', 'Captain Furber', 'Mr. Maurice Liverman', 'The Ven. Archdeacon Escreet', 'Dr. Kinton', 'Mrs. Stanbury', 'Miss Donaldson', 'Miss L. Constance Jacob', 'Mrs. Arthur Savory', 'Councillor Aldrick', 'Mrs. Rackham', 'Councillor Green', 'Councillor Susan Lawrence', 'Dr. Burnett', 'The Rev. E. Hartley', 'Mrs. Green', 'Dr. Burnett', 'Mrs. Dyke', 'Miss Scott Moncrieff', 'Miss Ruth Young', 'Mr. Mallet', 'Miss Mildred Ransom', 'Mr. O. C. Collinge', 'Mrs. G. Cavendish Bentinck', 'Mr. Horace G. Cranfurd', 'Miss G. M. Bancroft', 'Mr. J. Valentine', 'Mrs. Rackham', 'Lord Lytton', 'Miss M. Sugden', 'Mr. Lawrence Housman', 'Mr. J. W. H. Thompson', 'Miss Helen Fraser', 'Dr. Manning', 'Miss Montgomery', 'Mrs. Carson', 'Mrs. Tennell', 'Mrs. McLean', 'Mrs. Harold Barbour', 'The Rev. A. Kelly', 'Miss Baretti', 'Mr. Cox', 'Mr. Elsom', 'Mrs. Tom Price', 'Mr. Stear', 'Mr. Powell', 'Miss Hartland', 'Mrs. Hartland', 'Mrs. Penwarden', 'Mrs. Baxter', 'Mrs. Rutter', 'Miss Haldane', 'Mrs. Childe', 'Miss Meikle', 'Miss Hoey', 'Dr. Maud Kerslake', 'Mrs. Beetson Clarke', 'Dr. Helen Wilson', 'Mrs. H. F. Hall', 'Mrs. Helliwell', 'Mrs. Gill', 'Mrs. George Foster', 'Mrs. Lomax', 'Mr. Banham', 'Mr. Widdowson', 'Mr. Fred Hall', 'Mrs. Reader', 'Miss Goode Davis', 'Miss Millbanke', 'Mrs. Matthews', 'Dr. Mabel Campbell', 'Miss I. S. A. Beaver', 'Mr. A. H. Scott', 'Mrs. Baynes', 'Mr. Pike Pease', 'Mr. Russell Williams', 'Miss C. M. Gordon', 'Miss St. John', 'The Rev. Holme', 'Miss Mein', 'Mrs. Renton', 'Miss Scott', 'Miss Cook', 'Miss Moulden', 'Miss Denby', 'Miss Davis', 'Miss Gough', 'Dr. Wodehouse', 'Mrs. Arthur Habershons', 'Miss E. R. Colman', 'Mrs. Wright', 'Miss Bishop', 'Mr. Baillie Weaver', 'Miss Dring', 'Miss St. John', 'Miss Beaver', 'Miss Sheard', 'Mrs. Matthews', 'Dr. Campbell', 'Mrs. H. Hicks', 'Miss O. M. Gordon', 'Miss I. S. A. Beaver', 'Miss O. MacMillan', 'Mrs. Walford Common', 'Miss St. John', 'Miss Garlick', 'Miss Colman', 'Mrs. Stevenson', 'Mr. Alan Hutchinson', 'Mrs. Renton', 'Miss Andrews', 'Mr. W. H. Bennett', 'Mrs. George Foster', 'Miss Hoey', 'Mr. Hutchinson', 'Mrs. Renton', 'Mr. Isaac Cock', 'Mrs. Stevenson', 'Miss Clough', 'Miss Constance Cochrane', 'Miss Place', 'Miss Sugden', 'Mrs. Dyke', 'Miss Scott Moncrieff', 'Miss Wrage', 'Mr. Neville Noller', 'Mrs. Swanwick', 'Miss Bisset Smith', 'Mr. Teague', 'Miss M. Coit', 'Mrs. Fawcett', 'Mrs. Swanwick', 'Miss M. Royden', 'Mrs. Auerbach', 'Mrs. W. S. Rendel', 'Miss Broadbent', 'Katharine Bushnell', 'Mrs. Crittall', 'Miss Smith', 'Mrs. A. H. Green', 'Miss Davies', 'Beatrice', 'Miss Sullivan', 'Woolfall', 'Mrs. Russell', 'Hutton', 'Miss C. C. Field', 'Peake', 'MARY MCLACHLAN', 'SIGNOR ENRICO PIAZZA', 'S. M. BURNETT', 'M.', 'Loesch', 'A. R.', 'B.', 'T.', 'Howes', 'T.']",,,"APRIL 25 , 1913"
APRIL 26,Alsage St. Mary's Room,"Alsage St. Mary's Room - Mrs . Swanwick , M.A.- Brockway ( Editor , "" Labour Leader "" ) -Chair : Mr. T. M. Kelsall","['Mrs. Swanwick', 'Mr. Brockway', 'Mr. T. M. Kelsall']",,,"APRIL 25 , 1913"
APRIL 26,Wokingham,Wokingham Girls ' Club Room Meeting for Women - Speaker : Miss Dora Mason,,,,"APRIL 25 , 1913"
APRIL 28,Lincoln,Lincoln Shop Assistants ' Union Smith - Miss Norma,['Miss Norma Smith'],,,"APRIL 25 , 1913"
APRIL 28,Leicester,"Leicester - Corn Exchange - Suffrage Demonstration -Mr . J. Keir Hardie , M.P.",['Mr. J. Keir Hardie'],,,"APRIL 25 , 1913"
APRIL 28,Rawtenstall,"Rawtenstall- Co - operative Hall Speakers : Mrs. H. M. Swanwick , M.A. , Mr. J. H. Hudson ( Labour Candidate for Eccles ) Chair : Mr. Geo . Whittam ( President , Rosendale Labour Council )","['Mrs. H. M. Swanwick', 'Mr. J. H. Hudson', 'Mr. Geo. Whittam']",,,"APRIL 25 , 1913"
APRIL 28,Didsbury,"Didsbury - Didsbury Suffrage Club , Wilmslow Road ( above Co - operative Stores ) -Mrs . Hiller and others",['Mrs. Hiller'],,,"APRIL 25 , 1913"
APRIL 28,Hulme,"Hulme Hulme Suffrage Club , York Street Temperance Hall -",,,,"APRIL 25 , 1913"
APRIL 28,Croydon,"Croydon 34a , The Arcade - Miss Musselwhite- "" Children under the Poor Law """,['Miss Musselwhite'],,,"APRIL 25 , 1913"
APRIL 28,Huith,Huith - Girls ' School - Public Meeting - Miss Dora Mason - Miss V. Eustace,"['Miss Dora Mason', 'Miss V. Eustace']",,,"APRIL 25 , 1913"
