points,height,width,block_type,text,id,score,x_center,y_center,x_center_100x,scan,page,column
"[93, 53, 164, 51, 165, 86, 94, 88]",37,72,quadrilateral,JULY,0,0.9773786067962646,129.0,69.5,12900.0,3,1,0
"[179, 51, 212, 50, 213, 84, 180, 85]",35,34,quadrilateral,18,1,0.9839948415756226,196.0,67.5,19600.0,3,1,0
"[211, 50, 220, 50, 221, 84, 212, 84]",34,10,quadrilateral,",",2,0.9864717125892639,216.0,67.0,21600.0,3,1,0
"[241, 49, 308, 47, 309, 82, 242, 84]",37,68,quadrilateral,1913,3,0.9795930981636047,275.0,65.5,27500.0,3,1,0
"[310, 48, 321, 48, 322, 82, 311, 82]",34,12,quadrilateral,.,4,0.8343736529350281,316.0,65.0,31600.0,3,1,0
"[58, 225, 121, 219, 123, 249, 61, 255]",36,65,quadrilateral,July,5,0.9887621402740479,90.75,237.0,9075.0,3,1,0
"[127, 219, 176, 215, 178, 243, 130, 248]",33,51,quadrilateral,9th,6,0.9592758417129517,152.75,231.25,15275.0,3,1,0
"[174, 215, 184, 214, 187, 243, 177, 244]",30,13,quadrilateral,.,7,0.953155517578125,180.5,229.0,18050.0,3,1,0
"[332, 119, 393, 119, 393, 166, 332, 166]",47,61,quadrilateral,In,8,0.9741759896278381,362.5,142.5,36250.0,3,1,0
"[438, 119, 763, 119, 763, 166, 438, 166]",47,325,quadrilateral,Parliament,9,0.9895975589752197,600.5,142.5,60050.0,3,1,0
"[764, 119, 778, 119, 778, 166, 764, 166]",47,14,quadrilateral,.,10,0.8879873752593994,771.0,142.5,77100.0,3,1,0
"[783, 31, 886, 31, 886, 62, 783, 62]",31,103,quadrilateral,THE,11,0.9901236891746521,834.5,46.5,83450.0,3,1,0
"[925, 31, 1144, 31, 1144, 62, 925, 62]",31,219,quadrilateral,COMMON,12,0.9863983988761902,1034.5,46.5,103450.0,3,1,0
"[1180, 31, 1340, 31, 1340, 62, 1180, 62]",31,160,quadrilateral,CAUSE,13,0.958339273929596,1260.0,46.5,126000.0,3,1,1
"[1344, 31, 1357, 31, 1357, 62, 1344, 62]",31,13,quadrilateral,.,14,0.768643856048584,1350.5,46.5,135050.0,3,1,1
"[113, 246, 183, 245, 184, 278, 114, 279]",34,71,quadrilateral,Lord,15,0.9918973445892334,148.5,262.0,14850.0,3,1,0
"[209, 245, 305, 244, 305, 275, 209, 277]",33,96,quadrilateral,Henry,16,0.9929993152618408,257.0,260.25,25700.0,3,1,0
"[331, 243, 490, 241, 490, 273, 331, 275]",34,159,quadrilateral,Cavendish,17,0.9914191365242004,410.5,258.0,41050.0,3,1,0
"[490, 241, 501, 241, 501, 273, 490, 273]",32,11,quadrilateral,-,18,0.975611686706543,495.5,257.0,49550.0,3,1,0
"[503, 240, 641, 238, 641, 271, 504, 273]",35,138,quadrilateral,Bentinck,19,0.9863008856773376,572.25,255.5,57225.0,3,1,0
"[664, 238, 752, 237, 752, 269, 664, 270]",33,88,quadrilateral,asked,20,0.9902552962303162,708.0,253.5,70800.0,3,1,0
"[779, 236, 858, 235, 858, 267, 779, 268]",33,79,quadrilateral,what,21,0.992680549621582,818.5,251.5,81850.0,3,1,0
"[881, 234, 933, 233, 933, 265, 881, 266]",33,52,quadrilateral,the,22,0.9851827621459961,907.0,249.5,90700.0,3,1,0
"[956, 233, 1052, 232, 1053, 264, 957, 266]",34,97,quadrilateral,Home,23,0.989869236946106,1004.5,248.75,100450.0,3,1,0
