Date,Location,Raw,Speakers,Description,Hosts,Issue date
JUNE 13,LEICESTER,LEICESTER - Miss Clephan's Drawing - room Meeting- Miss Alice Low 3.0,"['Miss Clephan', 'Miss Alice Low']",,,"JUNE 13 , 1913"
JUNE 13,MONKSHEATON,MONKSHEATON - Drawing - room Meeting Mrs. Cowmeadow 3.0,['Mrs. Cowmeadow'],,,"JUNE 13 , 1913"
JUNE 13,RYHOPE,"RYHOPE - Outdoor , "" Guide Post "" 7.30",,"Outdoor meeting at ""Guide Post""",,"JUNE 13 , 1913"
JUNE 13,OXFORD,OXFORD - Open - air Meeting at Beckley 7.30,,Open-air meeting at Beckley,,"JUNE 13 , 1913"
JUNE 13,BISHOP AUCKLAND,BISHOP AUCKLAND - Edgar Hall - Miss Alice Low 7.30,['Miss Alice Low'],,,"JUNE 13 , 1913"
JUNE 13,BACUP,BACUP Ramble to Oneta's Wood Meeting Mrs. Chew 3.15,['Mrs. Chew'],,,"JUNE 13 , 1913"
JUNE 13,RAMSGATE,"RAMSGATE - Garden Party , members and friends - Fru Anker 3.15",['Fru Anker'],,,"JUNE 13 , 1913"
JUNE 14,BOLTON,"BOLTON - Annual Meeting of the Women's Suffrage Association in the Girls ' Club , Ken- nington Street - Speaker , Mrs. Russell on "" The Pilgrimage """,['Mrs. Russell'],,,"JUNE 13 , 1913"
JUNE 14,OSBORNE SHAVINGTON,Osborne Shavington,,Details not specified,,"JUNE 13 , 1913"
JUNE 14,MANCHESTER,"MANCHESTER - At Grove - Speaker , Miss Pemberton 2.0",['Miss Pemberton'],,,"JUNE 13 , 1913"
JUNE 14,RAWTENSTALL,"RAWTENSTALL - Fair Ground , Bacup Road- Mr. J. W. Moor , Mr. Clement Brendack , Mrs. Chew 6.30","['Mr. J. W. Moor', 'Mr. Clement Brendack', 'Mrs. Chew']",,,"JUNE 13 , 1913"
JUNE 15,MANCHESTER,"MANCHESTER - At Willaston , Crewe Road- Speaker , Miss Pemberton 3.30",['Miss Pemberton'],,,"JUNE 13 , 1913"
JUNE 15,LEICESTER,LEICESTER - West End Men's Adult School- Mrs. Cowmeadow 7.30,['Mrs. Cowmeadow'],,,"JUNE 13 , 1913"
JUNE 15,LEICESTER,LEICESTER Mrs. Dilke's Parlour Meeting- Mrs. Cowmeadow 3.0,['Mrs. Cowmeadow'],,,"JUNE 13 , 1913"
JUNE 15,LEICESTER,Newfound Poor Women's Adult School- Mrs. Cowmeadow 8.0,['Mrs. Cowmeadow'],,,"JUNE 13 , 1913"
JUNE 16,PERSHORE,"PERSHORE - Invitation Meeting Hostess , Miss Hemming , Upper Brick House - Speaker , Miss Watson 3.30",['Miss Watson'],,,"JUNE 13 , 1913"
JUNE 16,WIGSTOW,"WIGSTOW - Public Meeting at Girls ' School -Chair , Sir Victor Horsley - Speaker , Mrs. Cowmeadow 7.30",['Mrs. Cowmeadow'],,,"JUNE 13 , 1913"
JUNE 17,TUNBRIDGE WELLS,"TUNBRIDGE WELLS Mrs. William Rogers at Home to Members , Clare Lodge 4.0",,,['Mrs. William Rogers'],"JUNE 13 , 1913"
JUNE 17,OXFORD,"OXFORD Garden Meeting , St. Hilda's Hall , by kind invitation of Miss Burrows 3.0",,,['Miss Burrows'],"JUNE 13 , 1913"
JUNE 17,LIVERPOOL,"LIVERPOOL - American Tea Mrs. Hugh Rathbone , Oakwood Cottage 3.15",,,['Mrs. Hugh Rathbone'],"JUNE 13 , 1913"
JUNE 17,SOLIHULL,"SOLIHULL Garden Meeting Sale at the Rectory Speaker , Fru Anker 3.30",['Fru Anker'],,,"JUNE 13 , 1913"
JUNE 17,LEICESTER,LEICESTER - Summer Fête at Knighton Hayes 3.0-9.0,,,,"JUNE 13 , 1913"
JUNE 20,REIGATE,"REIGATE - Mrs . Vincent Hooper's Garden Meeting at Woodhatch Cottage , South Park- Mrs. Timpany , B.A. 3.30",['Mrs. Timpany'],,,"JUNE 13 , 1913"
JUNE 20,OXFORD,OXFORD - Open - air Meeting at Wheatley 7.30,,Open-air meeting at Wheatley,,"JUNE 13 , 1913"
JUNE 20,COLWALL,"COLWALL - Invitation Meeting - Hostess , Miss Holland , Brand Lodge - Speaker , Miss Watson 4.15",['Miss Watson'],,,"JUNE 13 , 1913"
JUNE 18,PORTSMOUTH,"PORTSMOUTH - Garden Fête - The Cosham , Hants - Speaker , The Lady Frances Balfour - Chair , Miss N. O'Shea 7.30-9.0",['The Lady Frances Balfour'],,,"JUNE 13 , 1913"
JUNE 18,BRAMSGROVE,"BRAMSGROVE - Garden Meeting Hostess , Mrs. Hugh Dixon , The Elbows , Jardebigge- Speaker , Miss Watson 3.0",['Miss Watson'],,,"JUNE 13 , 1913"
JUNE 18,ATRINCHAM,ATRINCHAM - Mrs . Sydney O'Hanlon's Gar- den Fête at Oakdell Hall - Miss Darlington 3.30,['Miss Darlington'],,,"JUNE 13 , 1913"
JUNE 19,NORWICH,"NORWICH - Garden Meeting for Association Members - Hostess , Miss Edith S. Willis- "" A Chat with Mrs. Chicky , "" & c . 3.30",,"A Chat with Mrs. Chicky, etc.",['Miss Edith S. Willis'],"JUNE 13 , 1913"
