points,height,width,block_type,text,id,score,x_center,y_center,x_center_100x,scan,page,column
"[11, 188, 30, 188, 31, 212, 12, 213]",25,20,quadrilateral,8,0,0.6522943377494812,21.0,200.25,2100.0,1,1,0
"[319, 335, 332, 335, 332, 356, 319, 356]",21,13,quadrilateral,"""",1,0.6893766522407532,325.5,345.5,32550.0,1,1,0
"[340, 335, 400, 335, 400, 356, 340, 356]",21,60,quadrilateral,THE,2,0.9760609865188599,370.0,345.5,37000.0,1,1,0
"[413, 335, 539, 335, 539, 356, 413, 356]",21,126,quadrilateral,COMMON,3,0.9888519048690796,476.0,345.5,47600.0,1,1,0
"[551, 335, 641, 335, 641, 356, 551, 356]",21,90,quadrilateral,CAUSE,4,0.9511054158210754,596.0,345.5,59600.0,1,1,0
"[641, 335, 650, 335, 650, 356, 641, 356]",21,9,quadrilateral,",",5,0.9664478302001953,645.5,345.5,64550.0,1,1,0
"[651, 335, 663, 335, 663, 356, 651, 356]",21,12,quadrilateral,"""",6,0.9143295288085938,657.0,345.5,65700.0,1,1,0
"[677, 335, 839, 335, 839, 356, 677, 356]",21,162,quadrilateral,NOVEMBER,7,0.990923285484314,758.0,345.5,75800.0,1,1,0
"[852, 335, 876, 335, 876, 356, 852, 356]",21,24,quadrilateral,18,8,0.971068263053894,864.0,345.5,86400.0,1,1,0
"[875, 335, 882, 335, 882, 356, 875, 356]",21,7,quadrilateral,",",9,0.952006459236145,878.5,345.5,87850.0,1,1,0
"[893, 335, 939, 335, 939, 356, 893, 356]",21,46,quadrilateral,1909,10,0.9811455011367798,916.0,345.5,91600.0,1,1,0
"[939, 335, 946, 335, 946, 356, 939, 356]",21,7,quadrilateral,.,11,0.9283263087272644,942.5,345.5,94250.0,1,1,0
"[310, 450, 627, 450, 627, 610, 310, 610]",160,317,quadrilateral,The,12,0.9872051477432251,468.5,530.0,46850.0,1,1,0
"[700, 450, 1414, 450, 1414, 610, 700, 610]",160,714,quadrilateral,Common,13,0.9930683374404907,1057.0,530.0,105700.0,1,1,0
"[1500, 450, 1978, 450, 1978, 610, 1500, 610]",160,478,quadrilateral,Cause,14,0.9863126277923584,1739.0,530.0,173900.0,1,1,1
"[1988, 450, 2020, 450, 2020, 610, 1988, 610]",160,32,quadrilateral,.,15,0.9563480019569397,2004.0,530.0,200400.0,1,1,1
"[514, 682, 608, 682, 608, 742, 514, 742]",60,94,quadrilateral,The,16,0.9897246956825256,561.0,712.0,56100.0,1,1,0
"[637, 682, 787, 681, 787, 740, 637, 741]",60,150,quadrilateral,Organ,17,0.9854826331138611,712.0,711.0,71200.0,1,1,0
"[817, 681, 865, 681, 865, 740, 817, 740]",59,48,quadrilateral,of,18,0.9879977703094482,841.0,710.5,84100.0,1,1,0
"[892, 681, 972, 681, 972, 740, 892, 740]",59,80,quadrilateral,the,19,0.9879670143127441,932.0,710.5,93200.0,1,1,0
"[1001, 680, 1225, 679, 1225, 739, 1001, 740]",61,224,quadrilateral,Women's,20,0.9921702742576599,1113.0,709.5,111300.0,1,1,0
"[1255, 679, 1501, 678, 1501, 738, 1255, 739]",61,246,quadrilateral,Movement,21,0.9906612634658813,1378.0,708.5,137800.0,1,1,1
"[1532, 678, 1605, 678, 1605, 737, 1532, 737]",59,73,quadrilateral,for,22,0.9912610650062561,1568.5,707.5,156850.0,1,1,1
"[1637, 677, 1811, 676, 1811, 736, 1637, 737]",61,174,quadrilateral,Reform,23,0.9923738241195679,1724.0,706.5,172400.0,1,1,1
"[1814, 677, 1828, 677, 1828, 736, 1814, 736]",59,14,quadrilateral,.,24,0.9501439332962036,1821.0,706.5,182100.0,1,1,1
"[342, 806, 414, 807, 414, 839, 342, 838]",33,72,quadrilateral,VOL,25,0.9281854033470154,378.0,822.5,37800.0,1,1,0
"[416, 806, 425, 806, 425, 838, 416, 838]",32,9,quadrilateral,.,26,0.97159343957901,420.5,822.0,42050.0,1,1,0
"[441, 806, 471, 806, 471, 838, 441, 838]",32,30,quadrilateral,I.,27,0.9209731817245483,456.0,822.0,45600.0,1,1,0
"[513, 807, 573, 807, 573, 839, 513, 839]",32,60,quadrilateral,No.,28,0.9418712258338928,543.0,823.0,54300.0,1,1,0
"[593, 807, 634, 807, 634, 840, 593, 840]",33,41,quadrilateral,32,29,0.9465701580047607,613.5,823.5,61350.0,1,1,0
"[636, 808, 645, 808, 645, 840, 636, 840]",32,9,quadrilateral,.,30,0.9104021191596985,640.5,824.0,64050.0,1,1,0
"[296, 986, 441, 986, 441, 1013, 296, 1013]",27,145,quadrilateral,Editorial,31,0.9896584749221802,368.5,999.5,36850.0,1,1,0
"[441, 986, 449, 986, 449, 1013, 441, 1013]",27,8,quadrilateral,.,32,0.9241653680801392,445.0,999.5,44500.0,1,1,0
"[711, 804, 832, 806, 832, 826, 711, 824]",22,121,quadrilateral,Registered,33,0.9910322427749634,771.5,815.0,77150.0,1,1,0
"[845, 806, 869, 806, 869, 825, 845, 825]",19,24,quadrilateral,as,34,0.9826743006706238,857.0,815.5,85700.0,1,1,0
"[920, 805, 1180, 805, 1180, 836, 920, 836]",31,260,quadrilateral,NOVEMBER,35,0.9932825565338135,1050.0,820.5,105000.0,1,1,0
"[1203, 805, 1242, 805, 1242, 836, 1203, 836]",31,39,quadrilateral,18,36,0.991304337978363,1222.5,820.5,122250.0,1,1,1
"[1241, 805, 1253, 805, 1253, 836, 1241, 836]",31,12,quadrilateral,",",37,0.9788580536842346,1247.0,820.5,124700.0,1,1,1
"[1278, 805, 1361, 805, 1361, 836, 1278, 836]",31,83,quadrilateral,1909,38,0.9916277527809143,1319.5,820.5,131950.0,1,1,1
"[1362, 805, 1372, 805, 1372, 836, 1362, 836]",31,10,quadrilateral,.,39,0.9271188974380493,1367.0,820.5,136700.0,1,1,1
"[719, 827, 733, 827, 733, 848, 719, 848]",21,14,quadrilateral,a,40,0.8903146982192993,726.0,837.5,72600.0,1,1,0
"[743, 826, 870, 827, 870, 849, 743, 848]",23,127,quadrilateral,Newspaper,41,0.9919487833976746,806.5,837.5,80650.0,1,1,0
"[869, 828, 877, 828, 877, 849, 869, 849]",21,8,quadrilateral,.,42,0.903282880783081,873.0,838.5,87300.0,1,1,0
