points,height,width,block_type,text,id,score,x_center,y_center,x_center_100x,scan,page,column
"[432, 256, 467, 256, 467, 282, 432, 282]",26,35,quadrilateral,58,0,0.8389121294021606,449.5,269.0,44950.0,6,0,0
"[985, 256, 1074, 256, 1074, 286, 985, 286]",30,89,quadrilateral,THE,1,0.9866569638252258,1029.5,271.0,102950.0,6,0,0
"[1132, 258, 1315, 258, 1315, 288, 1132, 288]",30,183,quadrilateral,COMMON,2,0.9927190542221069,1223.5,273.0,122350.0,6,0,0
"[1377, 257, 1516, 258, 1516, 290, 1377, 289]",33,139,quadrilateral,CAUSE,3,0.9787846207618713,1446.5,273.5,144650.0,6,0,1
"[1517, 258, 1531, 258, 1531, 289, 1517, 289]",31,14,quadrilateral,.,4,0.8377261161804199,1524.0,273.5,152400.0,6,0,1
"[1895, 257, 1962, 257, 1962, 285, 1895, 285]",28,67,quadrilateral,MAY,5,0.8771980404853821,1928.5,271.0,192850.0,6,0,1
"[1977, 257, 1994, 257, 1994, 285, 1977, 285]",28,17,quadrilateral,5,6,0.9819599986076355,1985.5,271.0,198550.0,6,0,1
"[1996, 257, 2005, 257, 2005, 285, 1996, 285]",28,9,quadrilateral,",",7,0.9818364381790161,2000.5,271.0,200050.0,6,0,1
"[2026, 257, 2090, 257, 2090, 285, 2026, 285]",28,64,quadrilateral,1910,8,0.9917013645172119,2058.0,271.0,205800.0,6,0,1
"[2093, 257, 2101, 257, 2101, 285, 2093, 285]",28,8,quadrilateral,.,9,0.9337020516395569,2097.0,271.0,209700.0,6,0,1
"[2750, 254, 2817, 253, 2817, 283, 2750, 284]",31,67,quadrilateral,MAY,10,0.9111726880073547,2783.5,268.5,278350.0,6,1,0
"[2832, 254, 2849, 254, 2849, 283, 2832, 283]",29,17,quadrilateral,5,11,0.9853420257568359,2840.5,268.5,284050.0,6,1,0
"[2849, 254, 2859, 254, 2859, 283, 2849, 283]",29,10,quadrilateral,",",12,0.9757536053657532,2854.0,268.5,285400.0,6,1,0
"[2880, 253, 2945, 253, 2945, 282, 2880, 282]",29,65,quadrilateral,1910,13,0.9873923659324646,2912.5,267.5,291250.0,6,1,0
