points,height,width,block_type,text,id,score,x_center,y_center,x_center_100x,scan,page,column
"[415, 236, 450, 237, 450, 259, 415, 258]",23,35,quadrilateral,50,0,0.9895434975624084,432.5,247.5,43250.0,2,0,0
"[380, 308, 544, 307, 544, 340, 380, 341]",34,164,quadrilateral,Authority,1,0.9901447892189026,462.0,324.0,46200.0,2,0,0
"[560, 308, 624, 308, 624, 340, 560, 340]",32,64,quadrilateral,and,2,0.9754835367202759,592.0,324.0,59200.0,2,0,0
"[645, 307, 809, 306, 809, 339, 645, 340]",34,164,quadrilateral,Discipline,3,0.9791955351829529,727.0,323.0,72700.0,2,0,0
"[809, 307, 818, 307, 818, 339, 809, 339]",32,9,quadrilateral,.,4,0.9465556144714355,813.5,323.0,81350.0,2,0,0
"[972, 231, 1062, 231, 1062, 258, 972, 258]",27,90,quadrilateral,THE,5,0.9916011095046997,1017.0,244.5,101700.0,2,0,0
"[1117, 228, 1298, 225, 1299, 255, 1118, 258]",33,182,quadrilateral,COMMON,6,0.9893550872802734,1208.0,241.5,120800.0,2,0,0
"[415, 353, 458, 352, 459, 394, 416, 395]",43,44,quadrilateral,On,7,0.7622400522232056,437.0,373.5,43700.0,2,0,0
"[466, 352, 514, 351, 515, 393, 467, 394]",43,49,quadrilateral,the,8,0.9943117499351501,490.5,372.5,49050.0,2,0,0
"[524, 351, 589, 350, 590, 392, 525, 393]",43,66,quadrilateral,17th,9,0.9867755770683289,557.0,371.5,55700.0,2,0,0
"[596, 349, 638, 348, 639, 390, 597, 391]",43,43,quadrilateral,ult,10,0.9867698550224304,617.5,369.5,61750.0,2,0,0
"[639, 349, 649, 349, 650, 390, 640, 390]",41,11,quadrilateral,.,11,0.9391800165176392,644.5,369.5,64450.0,2,0,0
"[658, 348, 712, 347, 713, 389, 659, 390]",43,55,quadrilateral,Mr.,12,0.9786611795425415,685.5,368.5,68550.0,2,0,0
"[723, 346, 810, 344, 811, 386, 724, 388]",44,88,quadrilateral,Belloc,13,0.9897639155387878,767.0,366.0,76700.0,2,0,0
"[811, 345, 818, 345, 819, 386, 812, 386]",41,8,quadrilateral,",",14,0.9534439444541931,815.0,365.5,81500.0,2,0,0
"[828, 344, 902, 342, 903, 384, 829, 386]",44,75,quadrilateral,M.P.,15,0.912421464920044,865.5,364.0,86550.0,2,0,0
"[902, 343, 910, 343, 911, 384, 903, 384]",41,9,quadrilateral,",",16,0.9811964631080627,906.5,363.5,90650.0,2,0,0
"[926, 342, 1062, 339, 1063, 381, 927, 384]",45,137,quadrilateral,addressed,17,0.9926225543022156,994.5,361.5,99450.0,2,0,0
"[1074, 339, 1144, 338, 1145, 380, 1075, 381]",43,71,quadrilateral,some,18,0.9892354011535645,1109.5,359.5,110950.0,2,0,0
"[1154, 337, 1218, 336, 1219, 378, 1155, 379]",43,65,quadrilateral,boys,19,0.9860179424285889,1186.5,357.5,118650.0,2,0,0
"[1050, 380, 1064, 380, 1063, 402, 1049, 402]",22,15,quadrilateral,"""",20,0.6462513208389282,1056.5,391.0,105650.0,2,0,0
"[1076, 380, 1160, 383, 1159, 406, 1075, 403]",26,85,quadrilateral,There,21,0.9893875122070312,1117.5,393.0,111750.0,2,0,0
"[1168, 383, 1220, 385, 1219, 408, 1167, 406]",25,53,quadrilateral,was,22,0.9914383888244629,1193.5,395.5,119350.0,2,0,0
"[382, 385, 409, 385, 409, 417, 382, 417]",32,27,quadrilateral,in,23,0.98443204164505,395.5,401.0,39550.0,2,0,0
"[419, 385, 527, 384, 527, 416, 419, 417]",33,108,quadrilateral,Salford,24,0.9787956476211548,473.0,400.5,47300.0,2,0,0
"[532, 384, 605, 384, 605, 416, 532, 416]",32,73,quadrilateral,upon,25,0.9842105507850647,568.5,400.0,56850.0,2,0,0
"[617, 384, 632, 384, 632, 415, 617, 415]",31,15,quadrilateral,"""",26,0.5357703566551208,624.5,399.5,62450.0,2,0,0
"[644, 383, 783, 382, 783, 414, 644, 415]",33,139,quadrilateral,authority,27,0.9813786745071411,713.5,398.5,71350.0,2,0,0
"[792, 383, 845, 383, 845, 414, 792, 414]",31,53,quadrilateral,and,28,0.9911607503890991,818.5,398.5,81850.0,2,0,0
"[855, 382, 994, 381, 994, 413, 855, 414]",33,139,quadrilateral,discipline,29,0.993270993232727,924.5,397.5,92450.0,2,0,0
"[991, 382, 1001, 382, 1001, 413, 991, 413]",31,10,quadrilateral,.,30,0.9464620351791382,996.0,397.5,99600.0,2,0,0
"[1000, 382, 1020, 382, 1020, 413, 1000, 413]",31,20,quadrilateral,"""",31,0.7920165657997131,1010.0,397.5,101000.0,2,0,0
"[382, 420, 416, 420, 416, 451, 382, 451]",31,34,quadrilateral,no,32,0.9501534700393677,399.0,435.5,39900.0,2,0,0
"[429, 420, 516, 419, 516, 449, 429, 450]",31,87,quadrilateral,virtue,33,0.966357409954071,472.5,434.5,47250.0,2,0,0
"[518, 419, 526, 419, 526, 449, 518, 449]",30,8,quadrilateral,",",34,0.7526550889015198,522.0,434.0,52200.0,2,0,0
"[527, 419, 539, 419, 539, 449, 527, 449]",30,12,quadrilateral,"""",35,0.4611320197582245,533.0,434.0,53300.0,2,0,0
"[560, 418, 595, 418, 595, 448, 560, 448]",30,35,quadrilateral,he,36,0.9839001893997192,577.5,433.0,57750.0,2,0,0
"[607, 417, 663, 416, 663, 447, 607, 448]",32,56,quadrilateral,said,37,0.9792882800102234,635.0,432.0,63500.0,2,0,0
"[662, 417, 669, 417, 669, 447, 662, 447]",30,7,quadrilateral,",",38,0.9342737793922424,665.5,432.0,66550.0,2,0,0
"[709, 416, 740, 416, 740, 446, 709, 446]",30,31,quadrilateral,in,39,0.9888848066329956,724.5,431.0,72450.0,2,0,0
"[752, 416, 768, 416, 768, 446, 752, 446]",30,16,quadrilateral,a,40,0.9792594909667969,760.0,431.0,76000.0,2,0,0
"[779, 415, 873, 414, 873, 445, 779, 446]",32,94,quadrilateral,citizen,41,0.9805704355239868,826.0,430.0,82600.0,2,0,0
"[874, 414, 883, 414, 883, 444, 874, 444]",30,9,quadrilateral,",",42,0.9881792664527893,878.5,429.0,87850.0,2,0,0
"[897, 414, 927, 414, 927, 444, 897, 444]",30,30,quadrilateral,or,43,0.9926233291625977,912.0,429.0,91200.0,2,0,0
"[940, 413, 1020, 412, 1020, 443, 940, 444]",32,80,quadrilateral,sailor,44,0.98356032371521,980.0,428.0,98000.0,2,0,0
"[1020, 412, 1027, 412, 1027, 442, 1020, 442]",30,7,quadrilateral,",",45,0.9784265756607056,1023.5,427.0,102350.0,2,0,0
"[1040, 412, 1071, 412, 1071, 442, 1040, 442]",30,31,quadrilateral,or,46,0.9930447340011597,1055.5,427.0,105550.0,2,0,0
"[1083, 411, 1217, 409, 1217, 440, 1083, 442]",33,134,quadrilateral,workman,47,0.9914570450782776,1150.0,425.5,115000.0,2,0,0
"[381, 453, 438, 453, 438, 486, 381, 486]",33,57,quadrilateral,who,48,0.9832375645637512,409.5,469.5,40950.0,2,0,0
"[454, 453, 552, 452, 552, 484, 454, 485]",33,98,quadrilateral,obeyed,49,0.9872914552688599,503.0,468.5,50300.0,2,0,0
"[572, 452, 680, 451, 680, 484, 572, 485]",34,108,quadrilateral,because,50,0.9930449724197388,626.0,468.0,62600.0,2,0,0
"[696, 451, 731, 451, 731, 483, 696, 483]",32,35,quadrilateral,he,51,0.987529993057251,713.5,467.0,71350.0,2,0,0
"[748, 451, 800, 451, 800, 483, 748, 483]",32,52,quadrilateral,was,52,0.9830052256584167,774.0,467.0,77400.0,2,0,0
"[818, 450, 875, 450, 875, 483, 818, 483]",33,57,quadrilateral,told,53,0.9882203340530396,846.5,466.5,84650.0,2,0,0
"[876, 450, 882, 450, 882, 482, 876, 482]",32,6,quadrilateral,.,54,0.9820406436920166,879.0,466.0,87900.0,2,0,0
"[918, 449, 1066, 448, 1066, 481, 918, 482]",34,148,quadrilateral,Authority,55,0.993289589881897,992.0,465.0,99200.0,2,0,0
"[1082, 448, 1137, 448, 1137, 481, 1082, 481]",33,55,quadrilateral,was,56,0.993569016456604,1109.5,464.5,110950.0,2,0,0
"[1149, 448, 1219, 448, 1219, 480, 1149, 480]",32,70,quadrilateral,good,57,0.9923100471496582,1184.0,464.0,118400.0,2,0,0
"[381, 488, 454, 487, 454, 519, 381, 520]",33,73,quadrilateral,when,58,0.9884184002876282,417.5,503.5,41750.0,2,0,0
"[470, 487, 547, 486, 547, 518, 470, 519]",33,77,quadrilateral,there,59,0.9905502796173096,508.5,502.5,50850.0,2,0,0
"[562, 486, 614, 486, 614, 518, 562, 518]",32,52,quadrilateral,was,60,0.9897139072418213,588.0,502.0,58800.0,2,0,0
"[630, 486, 647, 486, 647, 517, 630, 517]",31,17,quadrilateral,a,61,0.9858124256134033,638.5,501.5,63850.0,2,0,0
"[662, 486, 715, 486, 715, 517, 662, 517]",31,53,quadrilateral,law,62,0.9844227433204651,688.5,501.5,68850.0,2,0,0
"[729, 485, 817, 484, 817, 516, 729, 517]",33,88,quadrilateral,which,63,0.991956889629364,773.0,500.5,77300.0,2,0,0
"[830, 484, 879, 484, 879, 515, 830, 515]",31,49,quadrilateral,one,64,0.9921603202819824,854.5,499.5,85450.0,2,0,0
"[895, 483, 993, 482, 993, 514, 895, 515]",33,98,quadrilateral,obeyed,65,0.9893332123756409,944.0,498.5,94400.0,2,0,0
"[1007, 482, 1120, 481, 1120, 513, 1007, 514]",33,113,quadrilateral,without,66,0.9878994226455688,1063.5,497.5,106350.0,2,0,0
"[1134, 482, 1152, 482, 1152, 513, 1134, 513]",31,18,quadrilateral,a,67,0.9898509979248047,1143.0,497.5,114300.0,2,0,0
"[1166, 481, 1217, 481, 1217, 512, 1166, 512]",31,51,quadrilateral,loss,68,0.9634170532226562,1191.5,496.5,119150.0,2,0,0
"[382, 521, 411, 521, 411, 553, 382, 553]",32,29,quadrilateral,of,69,0.9836021065711975,396.5,537.0,39650.0,2,0,0
"[418, 521, 470, 521, 470, 552, 418, 552]",31,52,quadrilateral,self,70,0.9933021664619446,444.0,536.5,44400.0,2,0,0
"[468, 521, 479, 521, 479, 552, 468, 552]",31,11,quadrilateral,-,71,0.9819961786270142,473.5,536.5,47350.0,2,0,0
"[479, 520, 579, 519, 579, 551, 479, 552]",33,100,quadrilateral,respect,72,0.9914423227310181,529.0,535.5,52900.0,2,0,0
"[579, 520, 589, 520, 589, 551, 579, 551]",31,10,quadrilateral,",",73,0.8647640943527222,584.0,535.5,58400.0,2,0,0
"[601, 519, 677, 518, 677, 550, 601, 551]",33,76,quadrilateral,when,74,0.9894708395004272,639.0,534.5,63900.0,2,0,0
"[689, 519, 738, 519, 738, 550, 689, 550]",31,49,quadrilateral,one,75,0.9903404116630554,713.5,534.5,71350.0,2,0,0
"[748, 518, 800, 518, 800, 549, 748, 549]",31,52,quadrilateral,was,76,0.9917151927947998,774.0,533.5,77400.0,2,0,0
"[808, 517, 885, 516, 885, 548, 808, 549]",33,77,quadrilateral,given,77,0.9911582469940186,846.5,532.5,84650.0,2,0,0
"[896, 517, 931, 517, 931, 548, 896, 548]",31,35,quadrilateral,an,78,0.9885894060134888,913.5,532.5,91350.0,2,0,0
"[942, 516, 1017, 515, 1017, 547, 942, 548]",33,75,quadrilateral,order,79,0.9917550683021545,979.5,531.5,97950.0,2,0,0
"[1028, 516, 1064, 516, 1064, 547, 1028, 547]",31,36,quadrilateral,by,80,0.989511251449585,1046.0,531.5,104600.0,2,0,0
"[1072, 516, 1088, 516, 1088, 547, 1072, 547]",31,16,quadrilateral,a,81,0.9876160621643066,1080.0,531.5,108000.0,2,0,0
"[1099, 515, 1220, 514, 1220, 546, 1099, 547]",33,121,quadrilateral,superior,82,0.9933955073356628,1159.5,530.5,115950.0,2,0,0
"[380, 554, 433, 554, 433, 587, 380, 587]",33,53,quadrilateral,and,83,0.9905576705932617,406.5,570.5,40650.0,2,0,0
"[448, 554, 545, 553, 545, 586, 448, 587]",34,97,quadrilateral,obeyed,84,0.9838312864303589,496.5,570.0,49650.0,2,0,0
"[561, 553, 584, 553, 584, 585, 561, 585]",32,23,quadrilateral,it,85,0.9884532690048218,572.5,569.0,57250.0,2,0,0
"[602, 553, 714, 552, 714, 584, 602, 585]",33,112,quadrilateral,without,86,0.9796209931373596,658.0,568.5,65800.0,2,0,0
"[732, 552, 750, 552, 750, 584, 732, 584]",32,18,quadrilateral,a,87,0.990187406539917,741.0,568.0,74100.0,2,0,0
"[763, 551, 926, 550, 926, 583, 763, 584]",34,163,quadrilateral,diminution,88,0.9886626601219177,844.5,567.0,84450.0,2,0,0
"[940, 551, 970, 551, 970, 583, 940, 583]",32,30,quadrilateral,of,89,0.981924295425415,955.0,567.0,95500.0,2,0,0
"[984, 550, 1034, 550, 1034, 582, 984, 582]",32,50,quadrilateral,self,90,0.9944452047348022,1009.0,566.0,100900.0,2,0,0
"[1035, 550, 1045, 550, 1045, 582, 1035, 582]",32,10,quadrilateral,-,91,0.9893984198570251,1040.0,566.0,104000.0,2,0,0
"[1044, 550, 1147, 549, 1147, 582, 1044, 583]",34,103,quadrilateral,respect,92,0.9928724765777588,1095.5,566.0,109550.0,2,0,0
"[1148, 549, 1155, 549, 1155, 581, 1148, 581]",32,7,quadrilateral,.,93,0.9434297680854797,1151.5,565.0,115150.0,2,0,0
"[1189, 549, 1218, 549, 1218, 581, 1189, 581]",32,29,quadrilateral,If,94,0.964593768119812,1203.5,565.0,120350.0,2,0,0
