Date,Location,Raw,Speakers,Description,Hosts,Issue date
MAR . 7,Bermondsey,"Bermondsey , 130 , Old Kent - road . Mr. Reginald Pott Bow , The Obelisk . M.P.U. Rev. Wills and others","['Mr. Reginald Pott', 'Rev. Wills', 'others', 'M.P.U.']",,,"March 7 , 1913"
MAR . 7,Bow,"Bow , The Obelisk .",[],,,"March 7 , 1913"
MAR . 7,Cricklewood,"Cricklewood , Clock Tower",,,,"March 7 , 1913"
MAR . 7,Chelsea,"Chelsea , 308 , King's - road . Miss Beatrice Kent",,,,"March 7 , 1913"
MAR . 7,Clerkenwell Green,"Clerkenwell Green . M.F.W.S. Mr. F. D. Fox , Dr. A. Macpherson , Mr. G. Pamment","['Mr. F. D. Fox', 'Dr. A. Macpherson', 'Mr. G. Pamment', 'M.F.W.S.']",,,"March 7 , 1913"
MAR . 7,Kingston,"Kingston , Fife Hall . Mr. H. D. Harben , Mrs. A. J. Webbe . Chair : Mrs. Dacre Fox .. 8 p.m.","['Mr. H. D. Harben', 'Mrs. A. J. Webbe.']",,,"March 7 , 1913"
MAR . 7,Lincoln's Inn House,"Lincoln's Inn House , Kingsway . Speakers ' Class . "" Miss Rosa Leo",['Miss Rosa Leo.'],,,"March 7 , 1913"
MAR . 7,North Kensington,"North Kensington , Bramley Arms , Latimer - road . Miss Coombs .. 8 p.m.",['Miss Coombs'],,,"March 7 , 1913"
MAR . 7,Sloane - square,Sloane - square . Miss Naylor . Chair : Mrs. Temple Bird,['Miss Naylor'],,,"March 7 , 1913"
MAR . 8,Croydon,"Croydon , 50 , High - street . Dramatic Entertainment",,Dramatic Entertainment,,"March 7 , 1913"
MAR . 8,Fulham - road,"Fulham - road , West End of Workhouse . M.F.W.S. Mr. F. D. Fox , Mr. H. B. Macpherson , Mr. W. Willox .. 8.15 p.m.","['Mr. F. D. Fox', 'Mr. H. B. Macpherson', 'Mr. W. Willox', 'M.F.W.S.']",,,"March 7 , 1913"
MAR . 8,Harlesden,"Harlesden , Manor Park - road",,,,"March 7 , 1913"
MAR . 8,Ilford,"Ilford , Balfour - road . Miss Naylor ..",['Miss Naylor'],,,"March 7 , 1913"
MAR . 8,Islington,"Islington , Holloway - road , corner of Jones Bros. Miss G. Richard",['Miss G. Richard'],,,"March 7 , 1913"
MAR . 8,Kingston,"Kingston , Church - street . Mrs. Theresa Gough . Chair : Mrs. Dacre Fox",['Mrs. Theresa Gough.'],,,"March 7 , 1913"
MAR . 8,St. John's Wood,"St. John's Wood , 50. Grove End - road , N.W. Mr. Dacre Fox , Mr. J. Y. Kennedy . Chair : Mrs. Bull . Hostess : Miss Lena Connell","['Mr. Dacre Fox', 'Mr. J. Y. Kennedy . ']",,,"March 7 , 1913"
MAR . 8,West Ham,"West Ham , Maryland point . Miss Elsa Myers",['Miss Elsa Myers'],,,"March 7 , 1913"
MAR . 8,Willesden Green,Willesden Green Library .,,,,"March 7 , 1913"
MAR . 8,Wimbledon Broadway,"Wimbledon Broadway . Miss Coombs , Chair : Mrs. Huggett",['Miss Coombs'],,,"March 7 , 1913"
MAR . 9,Hampstead Heath,"Hampstead Heath , Flagstaff . Miss G. Brackenbury",['Miss G. Brackenbury'],,,"March 7 , 1913"
MAR . 9,Hyde Park,"Hyde Park , W. Mrs. Drummond , Miss Rogers ..","['Mrs. Drummond', 'Miss Rogers']",,,"March 7 , 1913"
MAR . 9,Regent's Park,"Regent's Park , N.W. M.P.U. Mr. R. Pott , Miss M. Wright","['Mr. R. Pott', 'Miss M. Wright']",,,"March 7 , 1913"
MAR . 9,Victoria Park,"Victoria Park . M.F.W.S. Mr. F. D. Fox , Dr. A. Macpherson , Mr. V. Prout , Mr. W. Willox","['Mr. F. D. Fox', 'Dr. A. Macpherson', 'Mr. V. Prout', 'Mr. W. Willox', 'M.F.W.S.']",,,"March 7 , 1913"
