Date,Location,Raw,Speakers,Hosts,Issue date
MAY 2,Sidmouth - Manor Small Hau,"Sidmouth - Manor Small Hau - At Home . Fru Anker ( Norwegian National Council of Women ) the on "" The Effect of Women's Vote in Norway . "" Tea and Coffee , 8 p.m.","['Fru Anker', 'Fru Anker (Norwegian National Council of Women) ']",,"MAY 2 , 1913"
MAY 2,Croft (Ambleside),Croft ( Ambleside ) -Sale of Work in aid of Federa- 8.30 tion Funds 2-6.30,,,"MAY 2 , 1913"
MAY 2,Lincoln,"Lincoln - Co - operative Hall - Friends of Women's Suffrage Meeting . Chair , Mr. Neville Noller . Speaker , Miss N. Smith",['Miss N. Smith'],,"MAY 2 , 1913"
MAY 3,Croft (Ambleside),Croft ( Ambleside ) -Annual Meeting,,,"MAY 2 , 1913"
MAY 3,Houghton-le-Spring,"Houghton - le - Spring - White Lion - Open - air meet- ing - Rev . W. Moll , Miss I. S. A. Beaver","['Rev . W. Moll', 'Miss I. S. A. Beaver']",,"MAY 2 , 1913"
MAY 3,Houghton-le-Spring,"Houghton - le - Spring - Miner's , Hall - Demonstration -Rev . W. Moll , Mrs. Biltcliffe , Miss St. John , Miss I. S. A. Beaver","['Rev . W. Moll', 'Mrs. Biltcliffe', 'Miss St. John', 'Miss I. S. A. Beaver']",,"MAY 2 , 1913"
MAY 3,Shiney Row,"Shiney Row - open - air meeting - Rev . W. Moll , Miss I. S. A. Beaver 3.0 7.0","['Rev . W. Moll', 'Miss I. S. A. Beaver']",,"MAY 2 , 1913"
MAY 4,Wakefield,Wakefield - Hippodrome - Labour Demonstration- Miss I. O. Ford,['Miss I. O. Ford'],,"MAY 2 , 1913"
MAY 4,Southport,Southport - Lord Street - Girls ' Club - The Rev. F. Lindon Parkyn,['The Rev. F. Lindon Parkyn'],,"MAY 2 , 1913"
MAY 4,Bracknell Temperance Hall,Bracknell Temperance Hall - Annual Meeting - Mrs Robie Uniacke,,,"MAY 2 , 1913"
MAY 4,Dewsbury Trinity Hall,Dewsbury Trinity Hall - Meeting for 8.0 Women- White Slave Traffic - Dr . Mary Phillips,['Dr. Mary Phillips'],,"MAY 2 , 1913"
MAY 5,Croydon,Croydon - W.S.S . office . Mr. C. Baker,['Mr. C. Baker'],,"MAY 2 , 1913"
MAY 5,Salford,Salford - S . Salford Suffrage Club - Oldfield Hall- Gardenwall Street - Mrs . Chew,['Mrs. Chew'],,"MAY 2 , 1913"
MAY 5,Fairford,"Fairford - Bull Inn ( Market Room ) -Public Meet- ing . Mr. A. B. Gillett ( of Oxford ) . -Chair , Mrs. R. Hobbs , Junr .",['Mr. A. B. Gillett (of Oxford)'],,"MAY 2 , 1913"
MAY 5,Seaham Harbour,Seaham Harbour - Free Church Hall - Miss Muriel Matters - Miss I. S. A. Beaver 7.30,"['Miss Muriel Matters', 'Miss I. S. A. Beaver']",,"MAY 2 , 1913"
MAY 5,Gateshead,"Gateshead - Mrs . Nelson's , 24 , Harrow Street- Cottage Meeting - Miss Sheard",['Miss Sheard'],,"MAY 2 , 1913"
MAY 5,Gateshead - Low Fell,"Gateshead - Low Fell - Mrs . Warder's drawing - room 2.30 Meeting - Miss I. S. A. Beaver - Chair , Mrs. Hutchinson",['Miss I. S. A. Beaver'],,"MAY 2 , 1913"
MAY 5,Solihull Sutton Lodge,"Solihull Sutton Lodge - Annual Meeting - Professor Hughes , Miss Watson","['Professor Hughes', 'Miss Watson']",,"MAY 2 , 1913"
MAY 5,Cambridge,"Cambridge - Victoria Road Schoolroom - Mrs . Rack- ham , The Rev. John Bevan","['Mrs. Rackham', 'The Rev. John Bevan']",,"MAY 2 , 1913"
MAY 5,Wakefield,Wakefield - Westgate End House - Speaker : Mrs. Renton - Stock Exchange Tea - Address by N.U. Member,"['Mrs. Renton', 'N.U. Member']",,"MAY 2 , 1913"
MAY 5,Wallasey and Wirral,Wallasey and Wirral - Pennard House - Mrs . Stanger -American Salle,['Mrs. Stanger'],,"MAY 2 , 1913"
MAY 5,Gerrard's Cross,"Gerrard's Cross - Sale of preserves , sweets and second - hand books",,,"MAY 2 , 1913"
MAY 5,Wadebridge,"Wadebridge - Miss Helen Fraser , Mr. Mirrlees","['Miss Helen Fraser', 'Mr. Mirrlees']",,"MAY 2 , 1913"
MAY 5,Bishop Auckland,Bishop Auckland- Drawing - room meeting - Miss Matters,['Miss Matters'],,"MAY 2 , 1913"
