Date,Location,Raw,Speakers,Hosts,Description,Issue date
JANUARY 17,"Manchester - Albert Hall, Lecture Hall","Manchester - Albert Hall , Lecture Hall Annual Meeting of Manchester Society- Miss Frances Sterling","['Miss Frances Sterling', 'Miss Helen Fraser', 'Miss Eva Macnaughten', 'The Rev. Canon Woodrow', 'Miss Eleanor Rathbone', 'Miss Helen Fraser', 'Mrs. W. L. Turner', 'Mrs. Fowkes', 'Miss Satterthwaite', 'Miss Therza Potts', 'Nurse Johnson', 'The Rev. N. Anderton', 'Miss Janet Heyes', 'Miss J. Theopold', 'Mr. George Benson', 'Mr. J. H. Hudson', 'Miss Walford', 'Miss Maude Royden', 'Miss Corbett', 'Professor de Sumichrast', 'Miss J. H. Thomson', 'Mrs. Corbett Ashby', 'Miss Thomson', 'Miss Helen Ward', 'Mrs. Stanbury', 'Miss Lowndes', 'Miss Sheard', 'Mrs. Cowmeadow', 'Mrs. Ring', 'Miss Muriel Matters', 'Miss Irwin', 'Miss Alice Low', 'Dr. Elsie Inglis', 'Miss Helen Waddel', 'Mr. J. Malcolm Mitchell', 'Miss Boyle', 'Mrs. Tanner', 'Miss Gladys Pott', 'Mrs. Corbett Ashby', 'Mr. Baillie Weaver', 'Dr. Clifford', 'Mr. F. Hewick', 'Mrs. Earp', 'Councillor Thomas Grindle', 'Miss Helen Fraser', 'Miss Dutton', 'Miss Helen Wright', 'The Hon. Mrs. Bertrand Russell', 'Parish Councillor Easson', 'Mr. John McMichael', 'Miss Carmouche', 'Miss Jean Pagan', 'Miss Lisa M. Gordon', 'Miss Bell', 'Mr. Edward Brown', 'Mr. Patterson', 'Mrs. Gutteridge', 'Mrs. Rackham', 'Mrs. Pilling', 'Mrs. Wilson', 'Mr. Murray Janes', 'Miss Marie Coleman', 'Miss Smith Pigott', 'Miss Duncan', 'Mrs. Robie Uniacke', 'Miss Irene Cox', 'Mrs. Robertson Garratt', 'Miss E. M. Sutton', 'Miss Hilda Jones', ""Miss D'Albiao"", 'Councillor Margaret Ashton', 'Councillor Tom Fox', 'Mrs. Hiller', 'Mr. Wilson', 'Mr. S. Robinson', 'Mr. Westerby', 'Mrs. Annot Robinson', 'Miss Darlington', 'Mrs. Channing Pearce', 'Miss Bertha Kennett', 'Mrs. Hopkins', 'Mrs. Lidgett', 'Mrs. Swanwick', 'Miss Henderson', 'Miss Davies', 'Mrs. Spence Watson', 'Councillor Tibbens', 'Mr. E. G. Leycester', 'Mrs. F. T. Swanwick', 'Mr. James McGowan', 'Mr. T. Reed', 'Mr. J. W. Nicholson', 'Miss Margaret Robertson', 'Mrs. Cardwell', 'Mrs. Helme', 'Miss Mellor', 'Miss Leadley Brown', 'Miss Norma Smith', 'Miss Marshall', 'Miss Henderson', 'Mrs. Abbott', 'Mrs. Fawcett', 'Mrs. Longsdon', 'Mrs. J. Stuart Horner', 'The Rev. C. Hinscliff', 'Miss I. O. Ford', 'The Rev. I. A. Quail', 'Mr. Bolton', 'Mr. R. Green', 'Miss Day', 'Miss Moser', 'Miss Chenevix', 'Sir Charles Rowe', 'Mr. Almeric Paget', 'Sir Francis Darwin', 'Professor Bethune-Baker', 'Professor E. C. Clark', 'Professor H. M. Gwatkin', 'Professor T. McKenny Hughes', 'Professor J. S. Reid', 'Professor James Ward', 'Professor Sims Woodhead', 'The Revs. C. J. M. Child', 'The Rev. J. W. E. Conybeare', 'The Rev. A. S Duncan-Jones', 'The Rev. R. St. John Parry', 'The Rev. E. G. Selwyn', 'The Rev. H. F. Stewart', 'The Rev. R. H. Strachan', 'Dr. W. M. Fletcher', 'Dr. J. W. L. Glaisher', 'Dr. Alan Gray', 'Dr. J. E. McTaggart', 'Mr. Bentham', 'Mrs. Southcott', 'Mrs. Overbury', 'Miss Brigham', 'Mrs. Meyer', 'Mrs. Lloyd-Graeme', 'Miss Ward', 'Captain Hannay', 'Mr. Lambert', 'Miss Wilks', 'Miss Stephens', 'Lady Frances Balfour', 'Lord Lytton', 'Lady Castlereagh', 'Professor Latta', 'Sir William Robertson', 'Mr. Parry Green', 'Miss Watson', 'Miss M. S. Kerr', 'Miss Morrison', 'Mrs. Taylor', 'Miss Eskrigge', 'Miss Leadley Brown', 'Mrs. Bell', 'Miss McPherson', 'Mrs. Corbett-Ashby', 'Miss Moir', 'Sir Henry Lewis', 'Miss Matters', 'Mr. J. F. Sasson', 'Mrs. Garrett', 'Mrs. Pilling', 'Mrs. Burditt', 'Miss Isabel Edwards', 'Mr. Woodward', 'Mrs. Haverfield', 'Miss Dora Mason', 'Mr. Cecil Harmsworth', 'Miss Violet Eustace', 'Mrs. Berney', 'Lady Fay', 'Miss James', 'Mr. W. A. Mount', 'Mr. Egerton Wake', 'Mr. Frank Marshall', 'Mr. Munro Ferguson', 'Mrs. Robie Uniacke', 'Mr. Philip Lloyd-Graeme', 'Mr. Charles Duncan', 'Sir Norval Helme', 'Mr. Haddock', 'Mr. Richardson', 'Mr. A. Hutchinson', 'Mr. Brooks', 'Mr. Outram', 'Mr. Ellison', 'Mr. Pearson', 'Mr. A. J. Pease', 'Mr. McCallum Scott', 'Mr. Acland', 'Lord Robert Cecil', 'Mr. Holiday', 'Mr. Lloyd George', 'Mrs. Drummond', 'Mrs. Pankhurst', 'Mr. Harold Baker', 'Mr. Pease', 'Sir Edward Grey', 'Mr. Arthur Henderson', 'Mr. Harcourt', 'Lord Hardinge', 'Sir Guy Fleetwood Wilson', 'M. Charles Dupuy', 'Duke of Wellington', 'Peel', 'Mrs. Aldersley', 'Mrs. Chew', 'Mr. Baker', 'Miss Robertson', 'Mrs. Tozer', 'Miss Entwistle', 'Miss Sheard', 'Miss Gordon', 'Miss Dring', 'Mrs. Townley', 'Mr. Hobhouse', 'Mr. Wilkie', 'Mr. McKinnon Wood', 'Mr. Peto', 'Mr. Lloyd George', 'Miss Florean', 'Miss Mary Kingsley', 'Miss Durham', 'Mr. Asquith', 'Mr. Lansbury', 'Miss A. M. Allen']",,,"JANUARY 17 , 1913"
JANUARY 17,Kendal,Kendal Public Meeting - Miss Helen Fraser,['Miss Helen Fraser'],,,"JANUARY 17 , 1913"
JANUARY 17,Tunbridge Wells - Christ Church Parish Room,Tunbridge Wells - Christ Church Parish Room- Meeting - Miss Eva Macnaughten,['Miss Eva Macnaughten'],,,"JANUARY 17 , 1913"
JANUARY 17,Ormskirk Church House,"Ormskirk Church House - The Rev. Canon Woodrow , Miss Eleanor Rathbone .","['The Rev. Canon Woodrow', 'Miss Eleanor Rathbone']",,,"JANUARY 17 , 1913"
JANUARY 18,Hawkshead - Town Hall,"Hawkshead - Town Hall - Annual Meeting , followed by Public Meeting , Miss Helen Fraser - Chair : Mrs. Cunliffe - Supported by Mrs. W. L. Turner , Mrs. Fowkes , Miss Satterthwaite","['Miss Helen Fraser', 'Mrs. Cunliffe', 'Mrs. W. L. Turner', 'Mrs. Fowkes', 'Miss Satterthwaite']",,,"JANUARY 17 , 1913"
JANUARY 18-25,"Eccles - Suffrage Shop, 41, Liverpool Road, Patricroft.","Eoeles - Suffrage Shop , 41 , Liverpool Road , Patri- croft . Meetings Jan. 18-25 . Speakers Jan. 18 , Miss Therza Potts , M.A. , Nurse Johnson ; Jan. 20 , The Rev. N. Anderton , B.A. , Miss Janet Heyes ; Jan. 21 , Miss Therza Potts , M.A. , Miss J. Theopold ; Jan , 22 , Mr. George Ben- son , Miss Janet Heyes ; Jan. 23 , Mr. J. H. Hudson , M.A.","['Miss Therza Potts', 'Nurse Johnson', 'The Rev. N. Anderton', 'Miss Janet Heyes', 'Miss J. Theopold', 'Mr. George Benson', 'Mr. J. H. Hudson']",,,"JANUARY 17 , 1913"
JANUARY 20,Topsham,"Topsham Drawing - room meeting - Hostess , Mrs. Bush . Speaker , Miss Walford",['Miss Walford'],['Mrs. Bush'],,"JANUARY 17 , 1913"
JANUARY 21,"Maidenhead - Abbotsleigh, Cookham Road","Maidenhead - Abbotsleigh , Cookham Road - Annual meeting",,,Annual meeting,"JANUARY 17 , 1913"
JANUARY 21,Silverdale - Church House,"Silverdale - Church House , Drawing - room meeting . Hostess , Mrs. Sleigh . Speaker , Miss Norma - Smith .",['Miss Norma-Smith'],['Mrs. Sleigh'],,"JANUARY 17 , 1913"
JANUARY 21,"Whitby - Lecture Hall, Silver Street","Whitby - Lecture Hall , Silver Street - Miss Helen Fraser",['Miss Helen Fraser'],,,"JANUARY 17 , 1913"
JANUARY 22,Llangollen - Pavilion,"Ford Llangollen - Pavilion - Public meeting . Chair , Miss Eleanor Rathbone . Speaker , Mrs. Rackham","['Miss Eleanor Rathbone', 'Mrs. Rackham']",,,"JANUARY 17 , 1913"
JANUARY 22,Normanton - Drill Hall,"Normanton - Drill Hall - Mrs . Sanderson , Miss I. O. Ford","['Mrs. Sanderson', 'Miss I. O. Ford']",,,"JANUARY 17 , 1913"
JANUARY 22,Manchester - Didsbury Public Hall,"Manchester - Didsbury Public Hall - Mrs . F. T. Swanwick , Councillor E. D. Simon . Chair , Professor Herford","['Mrs. F. T. Swanwick', 'Councillor E. D. Simon', 'Professor Herford']",,,"JANUARY 17 , 1913"
JANUARY 22,Llandudno Cambridge Restaurant,"Llandudno Cambridge Restaurant - Annual meet- ing . Chair , Mrs. H. Rathbone",['Mrs. H. Rathbone'],,,"JANUARY 17 , 1913"
JANUARY 22,"Gateshead - Suffrage Shop, 115, High West Street","Gateshead - Suffrage Shop , 115 , High West Street- Social Meeting for women . Speaker , Mrs. Spence Watson ( Weekly )",['Mrs. Spence Watson'],,,"JANUARY 17 , 1913"
JANUARY 23,Mobberley - Hall Bank Room,"Mobberley - Hall Bank Room - Chair , Mr. E. G. Leycester , J.P. Speaker , Mrs. F. T. Swanwick","['Mr. E. G. Leycester', 'Mrs. F. T. Swanwick']",,,"JANUARY 17 , 1913"
JANUARY 23,Paignton,"Paignton Drawing - room meeting - Hostess , Miss Study . Speaker , Miss Walford",['Miss Walford'],['Miss Study'],,"JANUARY 17 , 1913"
JANUARY 23,Gateshead,"Gateshead Cottage meeting , 17 , Irwin Street , Councillor Tibbens , Miss Sheard","['Councillor Tibbens', 'Miss Sheard']",,,"JANUARY 17 , 1913"
JANUARY 24,Southborough - Victoria Hall,"Southborough - Victoria Hall - Debate . Miss Gladys Pott , Mrs. Corbett Ashby","['Miss Gladys Pott', 'Mrs. Corbett Ashby']",,,"JANUARY 17 , 1913"
JANUARY 24,Burnham - Town Hall,"Burnham - Town Hall - Public meeting . Mr. Baillie Weaver . Chair , Dr. Clifford","['Mr. Baillie Weaver', 'Dr. Clifford']",,,"JANUARY 17 , 1913"
JANUARY 24,"Eccles - Congregational Schoolroom, Patricroft","Last Eccles - Congregational Schoolroom , Patricroft - Mr . F. Hewick ( Wilmslow ) , Mrs. Earp ( Rotherham ) . Chair , Councillor Thomas Grindle , J.P","['Mr. F. Hewick', 'Mrs. Earp', 'Councillor Thomas Grindle']",,,"JANUARY 17 , 1913"
JANUARY 24,Guisborough,"Guisborough - Publio meeting - Miss Helen Fraser , Miss Dutton","['Miss Helen Fraser', 'Miss Dutton']",,,"JANUARY 17 , 1913"
JANUARY 25,"Littlehampton - Drawing room meeting, Pellern House, Norfolk Road","Littlehampton - Drawing room meeting , Pellern House , Norfolk Road - Speaker , Miss Helen Wright . Chair , The Hon . Mrs. Bertrand Russell","['Miss Helen Wright', 'The Hon. Mrs. Bertrand Russell']",,,"JANUARY 17 , 1913"
JANUARY 25,"Ripon - Drawing room meeting, Skelfield","Ripon Drawing - room meeting , Skelfield "" Miss Helen Fraser",['Miss Helen Fraser'],,,"JANUARY 17 , 1913"
JANUARY 25,Easingwold - Town Hall,"Easingwold - Town Hall - Chair , Mrs. K. E. T. Wilkinson , Miss Helen Fraser","['Mrs. K. E. T. Wilkinson', 'Miss Helen Fraser']",,,"JANUARY 17 , 1913"
JANUARY 19,"Battersea - Trades and Labour Council, 455, Batter- sea Park Road","Battersea - Trades and Labour Council , 455 , Batter- sea Park Road , S.W. - Miss Helen Ward",['Miss Helen Ward'],,,"JANUARY 17 , 1913"
JANUARY 20,"West Southwark - Borough Polytechnic, Borough Road","West Southwark - Borough Polytechnic , Borough Road - Mrs . Stanbury",['Mrs. Stanbury'],,,"JANUARY 17 , 1913"
JANUARY 20,"S. Kensington - 56, Iverna Court","S. Kensington - Annual meeting , 56 , Iverna Court- Hostess , Miss Lake . Miss Lowndes",['Miss Lowndes'],['Miss Lake'],Annual meeting,"JANUARY 17 , 1913"
JANUARY 21,Ealing,"Ealing At Home "" -Hostess , Miss Kyne Wright , 18 , Somerset Road , Ealing - Speakers , Miss Corbett and Professor de Sumichrast","['Miss Corbett', 'Professor de Sumichrast']",['Miss Kyne Wright'],At Home,"JANUARY 17 , 1913"
JANUARY 21,"Islington St. Peter's Institute, Vincent Terrace","Islington St. Peter's Institute , Vincent Terrace- Literary and Debating Society - Miss J. H. Thomson , M.A.",['Miss J. H. Thomson'],,,"JANUARY 17 , 1913"
JANUARY 22,"Walham Green - Elibank House, Barclay Road","Walham Green - Meeting at Elibank House , Barclay Road , Walham Green - Speaker , Mrs. Corbett Ashby",['Mrs. Corbett Ashby'],,,"JANUARY 17 , 1913"
JANUARY 24,"N. Hackney - 56, Clapton Common","N. Hackney - 56 , Clapton Common , N. - Social even- ing - Suffrage duologue and recita- tions",,,Social evening - Suffrage duologue and recitations,"JANUARY 17 , 1913"
