Date,Location,Raw,Speakers,Description,Issue date
April,"Wood Green, Unity Hall","Wood Green , Unity Hall Miss Annie Kenney , Miss Crocker , Miss Lamb 8 p.m.","['Miss Annie Kenney', 'Miss Crocker', 'Miss Lamb']",,"APRIL , 1908"
April,"Bath, Assembly Rooms","Bath , Assembly Rooms Mrs. Pankhurst 7.30 p.m.",['Mrs. Pankhurst'],,"APRIL , 1908"
April,Aberdeen,"Aberdeen Miss A. Pankurst , Rev. Roberts 8 p.m.","['Miss A. Pankhurst', 'Rev. Roberts']",,"APRIL , 1908"
April,"Hammersmith, 2, The Broadway","Hammersmith , 2 , The Broadway Miss Christabel Pankhurst , Miss A. Kenney , Miss Lamb , Miss Crocker 7.30 p.m.","['Miss Christabel Pankhurst', 'Miss A. Kenney', 'Miss Lamb', 'Miss Crocker']",,"APRIL , 1908"
April,"Kettering, Market Hill","Kettering , Market Hill Mrs. Baines 8-10 p.m",['Mrs. Baines'],,"APRIL , 1908"
April,"Lancaster, Trades Hall","Lancaster , Trades Hall Miss Sidley 8 p.m.",['Miss Sidley'],,"APRIL , 1908"
April 2,Bradford,Bradford Miss Nell Kenney 8 p.m,['Miss Nell Kenney'],,"APRIL , 1908"
April 2,"Bristol, Victoria Rooms","Bristol , Victoria Rooms Mrs. Pankhurst , Mrs. Pethick Lawrence , Miss Fraser 8 p.m.","['Mrs. Pankhurst', 'Mrs. Pethick Lawrence', 'Miss Fraser']",,"APRIL , 1908"
April 3,"Bedford, Town Hall","Bedford , Town Hall , Women only Miss Christabel Pankhurst , Miss Sidley 3 p.m.","['Miss Christabel Pankhurst', 'Miss Sidley']",,"APRIL , 1908"
April 3,"Bedford, Town Hall","Bedford , Town Hall , Public Meeting Miss Christabel Pankhurst , Miss Sidley 8 p.m.","['Miss Christabel Pankhurst', 'Miss Sidley']",,"APRIL , 1908"
April 4,"Plymouth, Market Place","Plymouth , Market Place Miss Nell Kenney Dinner hour",['Miss Nell Kenney'],,"APRIL , 1908"
