Date,Location,Raw,Issue date
JANUARY 26,Birmingham-Stirchley Labour Church,Birmingham - - Stirchley Mrs. Ring Labour Church- 6.30 p.m.,"JANUARY 24 , 1919"
JANUARY 27,St. Leonards,St. Leonards - Women's Meeting - Mrs . Ring 7 p.m.,"JANUARY 24 , 1919"
