Date,Location,Raw,Speakers,Description,Hosts,Issue date
JUNE 15,Ewshot - St . Mary's Lodge Paddock,"Ewshot - St . Mary's Lodge Paddock - Mrs . Renton , Rev. A. H. G. Creed .","['Mrs . Renton', 'Rev. A. H. G. Creed']",,,"JUNE 15 , 1911"
JUNE 16,Church Crookham - Post Box,"Church Crookham - Post Box - Mrs . Renton , Miss S. Clark , Rev. A. H. G. Creed .","['Mrs . Renton', 'Miss S. Clark', 'Rev. A. H. G. Creed']",,,"JUNE 15 , 1911"
JUNE 22,Birmingham - Cotteridge,"Birmingham - Cotteridge - Coronation Procession - For Suffrage Section apply Miss Greave , Bournville .",,"Coronation Procession - For Suffrage Section apply Miss Greave , Bournville",['Miss Greave'],"JUNE 15 , 1911"
JULY 1,Manchester - Whalley Range - Mrs . Hillier's Garden,Manchester - Whalley Range - Mrs . Hillier's Garden Party and Sale Miss A. M. Roydene,['Miss A. M. Roydene'],,,"JUNE 15 , 1911"
June 15,"Camberwell, The Tabernacle, Rye Lane","Camberwell , The Tabernacle , Rye Lane , Mrs. Abbott , J. Y. Kennedy , Esq .","['Mrs. Abbott', 'J. Y. Kennedy']",,,"JUNE 15 , 1911"
June 15,"Epsom, Clock Tower","Epsom , Clock Tower , Open - air Meeting , Miss A. Maude Royden .",['Miss A. Maude Royden'],,,"JUNE 15 , 1911"
June 15,"Sutton, Mrs. Martin's Drawing - room","Sutton , Mrs. Martin's Drawing - room Meeting , Miss C. Corbett .",['Miss C. Corbett'],,,"JUNE 15 , 1911"
June 15,"Sutton, The Broadway","Sutton , The Broadway , Open - air Meeting , Miss C. Corbett .",['Miss C. Corbett'],,,"JUNE 15 , 1911"
June 20,"Epsom, Mrs. Radford's Garden","Epsom , Mrs. Radford's Garden Meeting , Miss I. O. Ford .",['Miss I. O. Ford'],,,"JUNE 15 , 1911"
June 26,"58, Victoria Street, S.W.","58 , Victoria Street , S.W. , Quarterly Conference of Members .",,Quarterly Conference of Members,,"JUNE 15 , 1911"
June 27,"S. Paddington, 51, Porchester Terrace","S. Paddington , 51 , Porchester Terrace , Committee's Garden Meeting .",,Committee's Garden Meeting,,"JUNE 15 , 1911"
June 28,"Camberwell, Grove Lane","Camberwell , Grove Lane , Open - air Meeting , Miss Ruth Young .",['Miss Ruth Young'],,,"JUNE 15 , 1911"
June 28,"N. and Central Hackney, Mrs. Bishop's Garden","N. and Central Hackney , Mrs. Bishop's Garden Meet- ing , Miss I. O. Ford , Mrs. Bewick Colby .","['Miss I. O. Ford', 'Mrs. Bewick Colby']",,,"JUNE 15 , 1911"
June 29,"Sutton, The Broadway","Sutton , The Broadway , Open - air Meeting , Mrs. Rackham .",['Mrs. Rackham'],,,"JUNE 15 , 1911"
June 30,"Camberwell, Collyer Place","Camberwell , Collyer Place , Miss I. O. Ford .",['Miss I. O. Ford'],,,"JUNE 15 , 1911"
June 16,"Edinburgh, 40, Shandwick Place","Edinburgh , 40 , Shandwick Place , "" At Home . """,,"""At Home""",,"JUNE 15 , 1911"
June 30,"Edinburgh, 40, Shandwick Place","Edinburgh , 40 , Shandwick Place , American Tea .",,American Tea,,"JUNE 15 , 1911"
