Date,Location,Raw,Speakers,Description,Hosts,Issue date
MAY 12,Tunbridge Wells - Christ Church Parish Room,"MAY 12 , Tunbridge Wells - Christ Church Parish Room - Dr . Louise Martindale .",['Dr. Louise Martindale'],,,"MAY 12 , 1910"
MAY 12,Folkestone,Folkestone - Public Meeting - Miss Abadam .,['Miss Abadam'],,,"MAY 12 , 1910"
MAY 13,"Nottingham - 36, Bridlesmith Gate","Nottingham - 36 , Bridlesmith Gate - Tea and Cocoa .",,Tea and Cocoa,,"MAY 12 , 1910"
MAY 13,"London - Essex Hall, Strand","London Church League - Essex Hall , Strand - Miss Royden .",['Miss Royden'],,,"MAY 12 , 1910"
MAY 13,Uxbridge,"Uxbridge Church League for W.S. - Inaugural Public Meeting- The Rev. C. Hinscliff , Miss Canning .","['Rev. C. Hinscliff', 'Miss Canning']",,,"MAY 12 , 1910"
MAY 13,"Edinburgh - 40, Shandwick Place","Edinburgh 40 , Shandwick Place - Mrs . Johnstone .",['Mrs. Johnstone'],,,"MAY 12 , 1910"
MAY 13,Bournemouth - Prince's Hall,Bournemouth - Prince's Hall - Lady Stout .,['Lady Stout'],,,"MAY 12 , 1910"
MAY 14,"Edinburgh - 40, Shandwick Place","Edinburgh - 40 , Shandwick Place - Sale to be opened by the Lady Frances Balfour .",['Lady Frances Balfour'],Sale,,"MAY 12 , 1910"
MAY 14,"Dublin - 35, Molesworth Street","Dublin - 35 , Molesworth Street - Committee Meeting .",,Committee Meeting,,"MAY 12 , 1910"
MAY 17,Farnham - Tilford Schools,MAY 17 . Farnham - Tilford Schools - Miss Abadam .,['Miss Abadam'],,,"MAY 12 , 1910"
MAY 18,Rugby,Rugby - Open - air Meeting - Mrs . Mayer .,['Mrs. Mayer'],,,"MAY 12 , 1910"
MAY 18,Hull - Paragon Square,Hull Paragon Square - Open - air Meeting - Mr . Herbert Jacobs :,['Mr. Herbert Jacobs'],,,"MAY 12 , 1910"
MAY 18,Hull,Hull Public Meeting - Mr . Herbert Jacobs .,['Mr. Herbert Jacobs'],,,"MAY 12 , 1910"
MAY 18,Farnham - South Street Institute,Farnham - South Street Institute - Miss Abadam .,['Miss Abadam'],,,"MAY 12 , 1910"
MAY 19,Cranleigh - Village Hall,Cranleigh - Village Hall - Miss Abadam .,['Miss Abadam'],,,"MAY 12 , 1910"
MAY 19,"Leamington - 44, Avenue Road","Leamington - 44 , Avenue Road - Miss Harrison's Drawing - room Meeting Mrs. Julian Osler .",['Mrs. Julian Osler'],,['Miss Harrison'],"MAY 12 , 1910"
MAY 19,Watford - Masonic Hall,Watford - Masonic Hall - Mr . J. Malcolm Mitchell .,['Mr. J. Malcolm Mitchell'],,,"MAY 12 , 1910"
MAY 21,Oxford,Oxford - Miss Abadam .,['Miss Abadam'],,,"MAY 12 , 1910"
MAY 21,Woodstock,Woodstock - Miss Abadam .,['Miss Abadam'],,,"MAY 12 , 1910"
MAY 21,Tunbridge Wells - Great Hall,Tunbridge Wells - Great Hall - Miss Mason's Lantern Lecture .,['Miss Mason'],Lantern Lecture,,"MAY 12 , 1910"
MAY 24,Leatherhead - Public Hall,Leatherhead - Public Hall - Mrs . Fawcett .,['Mrs. Fawcett'],,,"MAY 12 , 1910"
MAY 25,Darlington - Temperance Institute,Darlington Temperance Institute - Annual Meeting .,,Annual Meeting,,"MAY 12 , 1910"
MAY 25,London (Esher) - Village Hall,London ( Esher ) -Village Hall - Mrs . Fawcett .,['Mrs. Fawcett'],,,"MAY 12 , 1910"
MAY 25,London (Enfield),London ( Enfield ) -Public Meeting .,,,,"MAY 12 , 1910"
MAY 26,Birmingham - Grand Hotel,Birmingham - Grand Hotel - Annual Meeting .,,Annual Meeting,,"MAY 12 , 1910"
MAY 26,London (Ealing),London ( Ealing ) -Suffrage Play .,,Suffrage Play,,"MAY 12 , 1910"
MAY 26,London (Richmond),London ( Richmond ) -Miss Bailey's Drawing - room Meeting - Lady Isabel Margesson .,['Lady Isabel Margesson'],,['Miss Bailey'],"MAY 12 , 1910"
MAY 26,London (South Paddington),London ( South Paddington ) -Miss Partridge's Drawing - room Meeting .,,,['Miss Partridge'],"MAY 12 , 1910"
MAY 26,Dorking - Public Hall,"Dorking Public Hall - Mrs . Fawcett , Miss Abadam .","['Mrs. Fawcett', 'Miss Abadam']",,,"MAY 12 , 1910"
MAY 27,Edinburgh - Synod Hall,Edinburgh - Synod Hall - Mrs . Philip Snowden .,['Mrs. Philip Snowden'],,,"MAY 12 , 1910"
MAY 27,Peaslake,Peaslake Drawing - room Meeting .,,,,"MAY 12 , 1910"
MAY 30,Shere - Village Hall,"Shere Village Hall - Mrs . Fawcett , Miss Abadam .","['Mrs. Fawcett', 'Miss Abadam']",,,"MAY 12 , 1910"
MAY 30,Newdigate - Schools,"Newdigate - Schools - Mrs . Fawcett ,",['Mrs. Fawcett'],,,"MAY 12 , 1910"
