Date,Location,Raw,Speakers,Description,Hosts,Issue date
JUNE 19,London. Queen's Hall,"London . Queen's Hall Great Metropolitan Fund Meet- ing - Speakers , The Bishop of Kensington , Mrs. Henry Fawcett , LL.D. , Mrs. Sidney Webb , Councillor Margaret Ashton , Mrs. Hood ( Women's Co - operative Guild ) -Admission free , reserved seats , 10s . 6d . , 5s . , 1s . 6d . , 1s . - Doors open 7.30","['The Bishop of Kensington', 'Mrs. Henry Fawcett, LL.D.', 'Mrs. Sidney Webb', 'Councillor Margaret Ashton', 'Mrs. Hood', ""Women's Co - operative Guild"", 'Hon. Mrs. Spencer Graves', 'The Lady Courtney of Penwith', 'Miss C. Marshall', 'Miss Mary Lowndes', 'Miss Hay Cooper', 'Miss Margaret Robertson', 'Miss Kathlyn Oliver', 'Frau Rosika Schwimmer', 'Dr. Mia Boissevain', 'Mrs. Besant', 'Mme Rosika Schwimmer', 'Miss Mavis Yorke', 'Miss ITALIA CONTI', 'MADAME COLLIER', 'The Lady COURTNEY of PENWITH', 'Miss C. MARSHALL', 'Miss MARY LOWNDES', 'Exec. Com., L.S.W.S. Ed. Board', 'The Englishwoman', 'MISS HAY COOPER', 'Miss C. M. EVE', 'Exec. Com., L.S.W.S.', 'Miss K. D. COURTNEY', 'Hon. Sec., N.U.W.S.S.', 'Miss I. O. FORD', 'Exec. Com., N.U.W.S.S.', 'Mrs. F. D. Acland', 'Outsider', 'Lady Aberconway', 'Mr. Roosevelt', 'Mr. Philip Roosevelt', 'Miss Strachey', 'Mr. Philip Wickstead', 'Mr. TOUCHE', 'N. Islington, U.', 'MR. JOYNSON-HICKS', 'Brentford, U.', 'MR. J. DUNDAS WHITE', 'Glasgow, Tradeston, L.', 'MR. DICKINSON', 'N. St. Pancras, L.', 'MR. HOBHOUSE', 'LORD ROBERT CECIL', 'Hitchin, U.', 'MR. MCKENNA', 'MR. CAVE', 'Surrey, Kingston, U.', 'MR. J. KEIR HARDIE', 'Merthyr Tydvil, Lab.', 'MR. WEDGWOOD', 'Newcastle-under-Lyme, L.', 'MR. R. A. SANDERS', 'Bridgwater, U.', 'MR. G. N. BARNES', 'Glasgow, Blackfriars, Lab.', 'LORD HUGH CECIL', 'Oxford University, U.', 'Mrs. Bracher', 'Mrs. Alderton', 'Mrs. Eva McLaren', 'Mrs. Cowan', 'Mrs. Walter Rea', 'Mrs. Broadley Reid', 'Miss Theodora Wilson', 'Kendal', 'Lady Cecilia Roberts', 'Miss Morland', 'Mrs. Raphael', 'Rosalind, Countess of Carlisle', 'Lady Bamford-Slack', 'Mrs. Broadley Reid', 'Mrs. Walter Runciman', 'Lady Aberconway', 'Miss Mabel Billson', 'Mrs. Joseph Bliss', 'Mrs. Bonwick', 'Mrs. C. A. V. Conybeare', 'Lady Cowdray', 'Lady Fisher-Smith', 'Mrs. Freeman', 'Miss Alison Garland', 'Hon. Mrs. Fred. Guest', 'Mrs. Hawksley', 'Lady Horsley', 'Mrs. Lloyd George', 'Mrs. Thomas Lough', 'Miss Bertha Mason', 'Mrs. C. F. G. Masterman', 'Miss Lucy F. Morland', 'Hon. Lady Norman', 'Mrs. Walter Rea', 'Lady Cecilia Roberts', 'Miss Agnes E. Slack', 'Mrs. Handley Spicer', 'Mrs. Swann', 'Mrs. C. P. Trevelyan', 'Lady Yoxall', 'M. H.', 'ELEANOR ACLAND', 'Mme. Melanie Berson', 'Miss Elisa Leonida', 'Emilia Pardo Bazan', 'Sister Augustine of Salonica', 'Miss Nora Bewicke', 'King Ferdinand', 'E. RENTOUL', 'Mr. Hooper', 'Sir H. T. White', 'Mrs. Venning', 'DAVID ALEC WILSON', 'Misses Hill', 'Miss Kathlyn Oliver', 'Miss Joan Guthrie', 'ANTONIA MOSER', 'H. M. TYRER', 'Rev. W. Temple', 'Mrs. BASIL ELLIS', 'Mrs. COSMO PATERSON', 'Miss L. B. EVETTS', 'R.H.S.', 'MISS MILDRED RANSOM', 'Mlle. DE LAMPENOILLE', 'Hon. Mrs. SPENCER GRAVES', 'Miss C. MARSHALL', 'Miss MARY LOWNDES', 'Miss HAY COOPER', 'Miss C. M. EVE', 'Miss K. D. COURTNEY', 'Miss I. O. FORD', 'Mrs. ANNIE BESANT', 'W. W. HAYES', 'R. S. NEUMANN', 'MISS M. LUCAS', 'R. CROMBLEHOLME', 'Miss Hoblyn', 'Mrs. Watson', 'Miss Gloyn', 'Miss Elkin', 'Miss Stoehr', 'Mrs. Rogers', 'Miss Fyffe', 'Miss Agnes Dawson', 'Mrs. Paul Campbell', 'Miss Goddard', 'Mr. A. Church', 'Miss D. Brown', 'Miss M. Hamilton', 'Miss Royds', 'Miss Rinder', 'Mrs. Vane Turner', 'Mrs. Abbott', 'Miss Chick', 'Mrs. Rackham', 'Mr. Rolleston Stables', 'Miss Elkin', 'Miss Cockle', 'Mr. Joseph Pingree', 'Mrs. Rackham', 'P.L.G.', 'Mr. R. Cholmeley', 'M.A.', 'Mr. H. Ellis', 'J.P.', 'S.C.C.', 'Miss Logan', 'Mr. Belsey', 'Miss Stubbs', 'Mrs. Horner', 'Miss Helen Ward', 'The Lady Betty Balfour', 'Mr. Gilbert Dale', 'Mrs. McDade', 'M.D.', 'Miss Fielden', 'Mr. Watson', 'Mrs. Hamilton', 'Miss P. Fawcett', 'Mr. T. Gugenheim', 'Mr. Antony Alsop', 'Miss Deverell', 'Miss Anna Martin', 'Mrs. Herbert Stead', 'Miss Eva Gore Booth', 'Mrs. Abbott', 'Mr. F. S. Mallett', 'Mrs. H. C. Campbell', 'Miss McGrigor', 'Mrs. Arthur Savory', 'The Lady Maud Parry', 'Miss M. Hamilton', 'Miss Ruth Young', 'Miss Jameson', 'Miss Fyffe', 'Mrs. Stanbury', 'Miss Sheard', 'Miss Armstroy', 'Miss E. G. Westwood', 'Miss Murray', 'Miss I. S. A. Beaver', 'Miss A. E. Westwood', 'Mrs. Whalley', 'Col. Courtenay Vyvyan', 'C.B.', 'Mrs. Cowmeadow', 'Miss Helen Knight', 'Miss P. Fawcett', 'Miss Griffith Jones', 'Mrs. Ring', 'Councillor Margaret Ashton', 'M.A.', 'Miss C. M. Gordon', 'Mrs. Haverfield', 'Mrs. Bethune-Baker', 'Mrs. Murray', 'Mrs. Peck', 'Miss Bowes', 'Mr. Clement Stott', 'The Rev. F. Fleming Vaughan', 'B.A.', 'Miss I. O. Ford', 'Mrs. Robie Uniacke', 'Mrs. Arthur Schuster', 'Mrs. Rogers', 'Mrs. Crane', 'Miss G. Cooke', 'Mrs. Renton', 'Miss I. S. A. Beaver', 'Mrs. Ring', 'Miss Dora Mason', 'M.A.', 'Miss Nora Marshall', 'Miss Synesack', 'Miss C. M. Gordon', 'Miss Andrew', 'Miss Evelyn Atkinson', 'Mrs. Lockwood', 'Miss Siddon', 'Councillor Margaret Ashton', 'M.A.', 'Mrs. Norbury', 'Mrs. Chew', 'Miss Lucy Cox', 'Miss Creak', 'The Rev. A. S. Duncan Jones', 'Mrs. Müter Wilson', 'Miss E. Goodger', 'Mr. Cook', 'The Rev. W. Whitaker', 'Mrs. Rogers', 'Miss Macadam', 'Miss C. Leadley Brown', 'Miss Cherry', 'Mrs. Ring', 'Miss Sheard', 'Miss Andrew', 'Miss E. G. Westwood', 'Councillor Ellen Chapman', 'Mrs. Meyer', 'Miss St. John', 'Miss Sheard', 'Miss Beaven', 'Miss Pressley Smith', 'Mr. Horace Crawfurd', 'Mrs. Macdonald', 'N.L.O.W.S.', 'Miss Alexandra Wright', 'B.Sc.', 'Miss Alice Crompton', 'M.A.', 'Miss Glover', 'MISS NELLIE HORNE', 'MISS A. PRESTON', 'MISS GRIFF', 'Miss Carver', 'Peek', 'MRS. AYRES PURDIE', 'A.L.A.A.', 'R. Crombleholme', 'Miss C. C. Field', 'Elizabeth', 'Emilie', 'Miss E. A. James', 'MADAME VINE', 'H. NELISSEN', 'Mrs. Colchester', 'Mrs. Marshall', 'Miss Willoughby', 'Margaret Macfarlane', 'John Russell', 'M.A.', 'Mrs. Marks', 'Peek', 'Ewart', 'Miss Smith', 'Mesdemoiselles Curchod', 'Mrs. W. M. Geldart', 'Alice Ponder', 'Miss Davies', ""Terry's"", 'Mrs. Russell', 'Mrs. Gandy', 'Miss Yolland', 'Miss Burd', 'W. B. Northover & Sons', 'Miss H Veitch-Brown', 'BETTY', 'MAUD BARHAM']",,,"JUNE 19 , 1914"
JUNE 19,Westminster Palace Hotel,"Westminster Palace Hotel - Public Reception- Speakers , The Lady Courtney of Penwith , Miss C. Marshall , Miss Mary Lowndes , Miss Hay Cooper - Chair , Hon . Mrs. Spencer Graves- Discussion - Tea",,Public Reception- Discussion - Tea,,"JUNE 19 , 1914"
JUNE 20,"Mill Hill - Outside the Hale Station, G.N.R.","Mill Hill - Outside the Hale Station , G.N.R.- Open - air Meeting ( Active Service League ) .",,,,"JUNE 19 , 1914"
JUNE 21,Hyde Park Near Reformers' Tree,"Hyde Park Near Reformers ' Tree - Speakers , Miss Margaret Robertson and others",,,,"JUNE 19 , 1914"
JUNE 22,East St. Pancras - Corner of Castle Road and Kentish Town Road,"East St. Pancras - Corner of Castle Road and Kentish Town Road - Open - air Speaker , Miss Gloyn , Miss P. Fawcett",,,,"JUNE 19 , 1914"
JUNE 22,Greenwich Corner of Vanbrugh Hill and Woolwich Road,"Greenwich Corner of Vanbrugh Hill and Woolwich Road - Open - air Meeting - Speakers , Mr. T. Gugenheim , Miss M. Goddard",,,,"JUNE 19 , 1914"
JUNE 22,North Kensington - Corner of Lancaster Road and Portobello Road,"North Kensington - Corner of Lancaster Road and Portobello Road , Miss Winifred Elkin , Miss Ellen Walshe",,,,"JUNE 19 , 1914"
JUNE 23,Blackheath Vanbrugh Castle,"Blackheath Vanbrugh Castle - Garden Meet- ing Hostess , Mrs. Alexander Drickham - Miss Anna Martin on "" Mother and the Law . """,['Miss Anna Martin'],Garden Meeting,['Mrs. Alexander Drickham'],"JUNE 19 , 1914"
JUNE 23,Lambeth Corner of Penton Place and Ken- nington Park Road,"Lambeth Corner of Penton Place and Ken- nington Park Road - Mrs. Hamilton , Miss Fawcett",,,,"JUNE 19 , 1914"
JUNE 24,"Holborn Corner of High Street, Bloomsbury and Charing Cross Road","Holborn Corner of High Street , Bloomsbury and Charing Cross Road - Open - air Meeting- Miss Eva Gore Booth , Miss Rinder",,,,"JUNE 19 , 1914"
