Date,Location,Raw,Speakers,Time,Description,Issue date
1910-09-08,"Grove Lane, Camberwell, London","London - Camberwell - Grove Lane - Mr. Malcolm Mitchell, Mr. John Manson. 8.0","['Mr. Malcolm Mitchell', 'Mr. John Manson']",8.0,,1910-09-08
1910-09-08,Salford Suffrage Club,North of England - Salford Suffrage Club - Miss Courtney. 1.0,['Miss Courtney'],1.0,,1910-09-08
1910-09-08,"King's Square Avenue, Bristol",Bristol - King's Square Avenue - Open - air Meeting. 3.0,,3.0,Open-air meeting,1910-09-08
1910-09-08,Romsey,Romsey - Open - air Meeting - Mr. Newport. 3.0,['Mr. Newport'],3.0,Open-air meeting,1910-09-08
1910-09-08,Salford Suffrage Club (Women),North of England - Salford Suffrage Club (Women) - Miss M. Ashton. 3.0,['Miss M. Ashton'],3.0,,1910-09-08
1910-09-09,"Devonshire Hotel, East Manchester","North of England - Devonshire Hotel, E. Manchester - Open - air Meeting - Miss M. Ashton. 8.0",['Miss M. Ashton'],8.0,,1910-09-08
1910-09-09,"Picton Street, Stokes Croft, Bristol","Bristol - Picton Street, Stokes Croft - Open - air Meeting. 7.0",,7.0,Open-air meeting,1910-09-08
1910-09-09,Romsey,Romsey - Open - air Meeting - Mr. Howard. 7.0,['Mr. Howard'],7.0,,1910-09-08
1910-09-10,"Tally-Ho Corner, Finchley, Highgate, London","London - Highgate - Tally - Ho Corner, Finchley - Mrs. Bowden-Smith. 8.0",['Mrs. Bowden-Smith'],8.0,,1910-09-08
1910-09-10,Great Missenden,Great Missenden - Open - air Meeting. 7.0,,7.0,Open-air meeting,1910-09-08
1910-09-12,"Trafford Road Schools, Salford","North of England - Trafford Road Schools, Salford - Public Meeting - Miss M. Ashton. 8.0",['Miss M. Ashton'],8.0,,1910-09-08
1910-09-12,"Guildhall, Saltash","Saltash - Guildhall - Public Meeting - Miss Alison Garland, Dr. Mabel Ramsay, The Mayor of Saltash (Chairman). 8.0","['Miss Alison Garland', 'Dr. Mabel Ramsay']",8.0,,1910-09-08
1910-09-12,"The Horsefair, Bristol",Bristol - The Horsefair - Open - air Meeting. 1.0,,1.0,Open-air meeting,1910-09-08
1910-09-12,Brockenhurst,"Brockenhurst Public Meeting - Miss Bateson, Miss Duncan. 7.30","['Miss Bateson', 'Miss Duncan']",7.30,,1910-09-08
1910-09-13,"Holy Trinity School, Bath",Bath - Holy Trinity School - Rev. C. Hinscliff. 8.0,['Rev. C. Hinscliff'],8.0,,1910-09-08
1910-09-13,"Zetland Road, Bristol",Bristol - Zetland Road - Open - air Meeting. 7.0,,7.0,Open-air meeting,1910-09-08
1910-09-13,Brockenhurst,Brockenhurst - Public Meeting - Mrs. Stanbury. 7.30,['Mrs. Stanbury'],7.30,,1910-09-08
1910-09-14,"Saw Close, Bath",Bath Saw Close - Miss Royden. 8.0,['Miss Royden'],8.0,,1910-09-08
1910-09-14,"Robertson Road, Bristol",Bristol - Robertson Road - Open - air Meeting. 1.0,,1.0,Open-air meeting,1910-09-08
1910-09-14,Ringwood,Ringwood - Public Meeting - Mrs. Stanbury. 7.30,['Mrs. Stanbury'],7.30,,1910-09-08
1910-09-15,"Town Hall, Wells","Wells - Town Hall - Miss Royden, Miss Wheelwright. 8.0","['Miss Royden', 'Miss Wheelwright']",8.0,,1910-09-08
1910-09-15,"Grove Lane, Camberwell, London",London - Camberwell - Grove Lane - Open - air Meeting -- Mr. J. Stephen. 8.0,['Mr. J. Stephen'],8.0,Open-air meeting,1910-09-08
1910-09-15,Ringwood,"Ringwood - Open - air Meeting - Miss Bateson, Miss Duncan. 7.30","['Miss Bateson', 'Miss Duncan']",7.30,Open-air meeting,1910-09-08
1910-09-15,Oldham Park Gates,North of England - Oldham Park Gates - Open - air Meeting - Miss Robertson. 3.0,['Miss Robertson'],3.0,,1910-09-08
1910-09-15,Salford Club,North of England - Salford Club - Women's Meeting - Mrs. Young. 3.0,['Mrs. Young'],3.0,,1910-09-08
1910-09-15,Salford Club,North of England - Salford Club - Debate. 4.0,,4.0,Debate,1910-09-08
1910-09-17,"Durdham Downs, Bristol","Bristol Durdham Downs Open - air Demonstration - Miss Abadam, Mrs. Cooper. 3.0","['Miss Abadam', 'Mrs. Cooper']",3.0,,1910-09-08
1910-09-17,"""The Haven"", Romiley","Romiley - Garden Party at ""The Haven"". Admission ls. 3.0",,3.0,Garden Party. Admission 1s.,1910-09-08
1910-09-19,Fording-Bridge,"Fording - Bridge - Open - air Meeting - Miss Duncan, Miss Cumberland.","['Miss Duncan', 'Miss Cumberland']",,,1910-09-08
1910-09-20,Fording-Bridge,"Fording - Bridge - Open - air Meeting - Miss Duncan, Miss Cumberland.","['Miss Duncan', 'Miss Cumberland']",,,1910-09-08
1910-09-20,"Sydenham, London",London - Sydenham - I.L.P. Women's Suffrage Meeting - Miss Ruth Young. 8.0,['Miss Ruth Young'],8.0,,1910-09-08
1910-09-21,Cosham,"Cosham - Garden Fête - Mrs. Brownlow, P.L.G.",['Mrs. Brownlow'],,Garden Fête,1910-09-08
1910-09-21,Bitterne,"Bitterne - Open - air Meeting - Miss Duncan, Miss Boswell. 8.0","['Miss Duncan', 'Miss Boswell']",8.0,,1910-09-08
1910-09-22,"Collyer Place, Camberwell, London",London - Camberwell - Collyer Place - Miss Thomson. 8.0,['Miss Thomson'],8.0,,1910-09-08
1910-09-22,Bishop Waltham,"Bishop Waltham - Open - air Meeting - Miss Norah O'Shea, Miss Duncan.","[""Miss Norah O'Shea"", 'Miss Duncan']",,,1910-09-08
