Date,Location,Raw,Speakers,Description,Hosts,Issue date
MARCH 2,Goole - St . Mary's Hall,"Goole - St . Mary's Hall - Miss I. O. Ford , Miss Fielden .","['Miss I. O. Ford', 'Miss Fielden']",,,"MARCH 2 , 1911"
MARCH 2,"Wallasey and Wirral - 70 , Rowson Road","Wallasey and Wirral - 70 , Rowson Road - Miss E. F. McPherson .",['Miss E. F. McPherson'],,,"MARCH 2 , 1911"
MARCH 2,Leamington - Birch's Music Rooms,Leamington - Birch's Music Rooms - Franchise Club .,,Franchise Club,,"MARCH 2 , 1911"
MARCH 2,"Salford St. Philip's Schools , George Street","Salford St. Philip's Schools , George Street - Social for Members .",,Social for Members,,"MARCH 2 , 1911"
MARCH 3,Wakefield - The Music Saloon,"Wakefield - The Music Saloon - At Home and Concert - Mrs . Edwin Gray , Miss Fielden .","['Mrs . Edwin Gray', 'Miss Fielden']",,,"MARCH 2 , 1911"
MARCH 3,Bristol - Grosvenor Cottage,Bristol - Grosvenor Cottage - Mrs . Green Armitage's Working Party .,,Mrs . Green Armitage's Working Party,,"MARCH 2 , 1911"
MARCH 3,Birmingham - Queen's College,Birmingham - Queen's College - Franchise Club - Tax Resistance -Mrs . Kineton Parkes .,['Mrs . Kineton Parkes'],Franchise Club - Tax Resistance,,"MARCH 2 , 1911"
MARCH 4,Cheltenham Town Hall,"Cheltenham Town Hall- "" How the Vote was Won , "" and Musical Programme .",,""" How the Vote was Won , "" and Musical Programme",,"MARCH 2 , 1911"
MARCH 4,Saltley - New Church Room,"Saltley - New Church Room "" Man and Woman . """,,""" Man and Woman . """,,"MARCH 2 , 1911"
MARCH 6,Bristol - Downs Park West,"Bristol - Downs Park West Mrs. Pearson's Drawing - room Meet- ing Mrs. Lucan Davies , M.A.","['Mrs. Lucan Davies , M.A.']",,['Mrs. Pearson'],"MARCH 2 , 1911"
MARCH 7,"Bournemouth - Assembly Rooms , Town Hall Avenue","Bournemouth - Assembly Rooms , Town Hall Avenue - At Home- The Misses Heywood .",,At Home,['The Misses Heywood'],"MARCH 2 , 1911"
MARCH 7,Croydon,Croydon Miss Miller's Drawing - room Meeting - Mrs . Baillie .,['Mrs . Baillie'],,['Miss Miller'],"MARCH 2 , 1911"
MARCH 7,"Dublin - 35 , Molesworth Street","Dublin - 35 , Molesworth Street "" The Feeble - minded Problem "" - Mrs. Gotto ( London ) .",['Mrs. Gotto ( London )'],,,"MARCH 2 , 1911"
MARCH 7,"Bristol - 111a , White Ladies ' Road","Bristol - 111a , White Ladies ' Road - Sharp Practice Debate .",,Sharp Practice Debate,,"MARCH 2 , 1911"
MARCH 7,Shrewsbury Masonic Hall,Shrewsbury Masonic Hall - Miss Abadam .,['Miss Abadam'],,,"MARCH 2 , 1911"
MARCH 7,Eccles - Burgon's Hall,Eccles - Burgon's Hall - Social - Miss Robertson .,['Miss Robertson'],Social,,"MARCH 2 , 1911"
MARCH 7,Stalybridge Town Hall,Stalybridge Town Hall - Miss I. O. Ford .,['Miss I. O. Ford'],,,"MARCH 2 , 1911"
MARCH 8,Bournville - Ruskin Hall,"Bournville - Ruskin Hall "" Anti - Suffrage",,""" Anti - Suffrage""",,"MARCH 2 , 1911"
MARCH 8,Croydon Adult School Hall,Croydon Adult School Hall - At Home - Mrs . Cooper .,['Mrs . Cooper'],At Home,,"MARCH 2 , 1911"
MARCH 8,Croydon,Croydon - Miss Miller's Drawing - room Meeting - Mrs . Cooper .,['Mrs . Cooper'],,['Miss Miller'],"MARCH 2 , 1911"
MARCH 8,"Nottingham - 54 , Long Row","Nottingham - 54 , Long Row - At Home - Discussion .",,At Home - Discussion,,"MARCH 2 , 1911"
MARCH 8,"Newcastle - on - Tyne - 27 , Ridley Place","Newcastle - on - Tyne - 27 , Ridley Place - Five - minute Speeches on Waxworks "" -Mrs . Osler .",['Mrs . Osler'],,,"MARCH 2 , 1911"
MARCH 8,Littlehampton - Hearndell Room,"Littlehampton - Hearndell Room - Miss Wallis ( chair ) , Miss M. Basden","['Miss Wallis', 'Miss M. Basden']",,,"MARCH 2 , 1911"
MARCH 8,Pendleton - Town Hall,"Pendleton - Town Hall - Miss I. O. Ford , Miss M. Robertson .","['Miss I. O. Ford', 'Miss M. Robertson']",,,"MARCH 2 , 1911"
MARCH 8,Manchester - Deansgate Arcade Café,Manchester - Deansgate Arcade Café - Federation At Home .,,Federation At Home,,"MARCH 2 , 1911"
MARCH 9,"Dublin - 35 , Molesworth Street","Dublin - 35 , Molesworth Street - Irish W.S. and Local Govern- ment Association - Committee Meeting .",,Irish W.S. and Local Govern- ment Association - Committee Meeting,,"MARCH 2 , 1911"
MARCH 9,Reigate,Reigate Mrs. Alexander's Drawing - room Meeting Mrs. Cooper .,['Mrs. Cooper'],,['Mrs. Alexander'],"MARCH 2 , 1911"
