Date,Location,Raw,Speakers,Issue date
AUGUST 7,Belmont,Belmont - Joint Suffrage and Dring and Mr. J. Gray I.L.P. - Miss,"['Miss Dring', 'Mr. J. Gray']","AUGUST 8 , 1913"
AUGUST 9,Helmsdale,"Helmsdale - Open - air Meeting at the Guns- Chair , Rev. J. Steel - Speakers , Miss Bury , Mr. Bruce ( from Australia )","['Miss Bury', 'Mr. Bruce (from Australia)']","AUGUST 8 , 1913"
AUGUST 9,Manchester,"Manchester - Tib Street , Street- Speakers , Miss Hatton , Mr. Fenner Brackway , and Mr. Neville Smith","['Miss Hatton', 'Mr. Fenner Brackway', 'Mr. Neville Smith']","AUGUST 8 , 1913"
AUGUST 11,Manchester,"Manchester - Meeting at Alexandra Park Gates -Speakers , Miss E. Wilkinson , Miss Taylor , Mr. Redfern , and the Rev. W. Whitaker","['Miss E. Wilkinson', 'Miss Taylor', 'Mr. Redfern', 'Rev. W. Whitaker']","AUGUST 8 , 1913"
AUGUST 11,Langley Moor,Langley Moor - Miss Dring and Mr. G. Harrison,"['Miss Dring', 'Mr. G. Harrison']","AUGUST 8 , 1913"
AUGUST 13,East Howe,East Howe Miss Dring and Mr. Sullivan ...,"['Miss Dring', 'Mr. Sullivan']","AUGUST 8 , 1913"
AUGUST 14,Pittington,"Pittington - Miss Dring , Mr. Wignall","['Miss Dring', 'Mr. Wignall']","AUGUST 8 , 1913"
