points,height,width,block_type,text,id,score,x_center,y_center,x_center_100x,scan,page,column
"[422, 328, 472, 329, 472, 351, 422, 350]",23,50,quadrilateral,506,0,0.9884394407272339,447.0,339.5,44700.0,8,0,0
"[978, 311, 1068, 311, 1068, 337, 978, 337]",26,90,quadrilateral,THE,1,0.991357684135437,1023.0,324.0,102300.0,8,0,0
"[1119, 307, 1302, 304, 1302, 334, 1119, 337]",33,183,quadrilateral,COMMON,2,0.9924349188804626,1210.5,320.5,121050.0,8,0,0
"[385, 401, 395, 401, 395, 427, 385, 427]",26,10,quadrilateral,(,3,0.9819427132606506,390.0,414.0,39000.0,8,0,0
"[394, 400, 444, 399, 444, 425, 394, 426]",27,50,quadrilateral,Hon,4,0.9872281551361084,419.0,412.5,41900.0,8,0,0
"[444, 400, 451, 400, 451, 426, 444, 426]",26,7,quadrilateral,.,5,0.912226676940918,447.5,413.0,44750.0,8,0,0
"[469, 399, 581, 398, 581, 425, 469, 426]",28,112,quadrilateral,Secretary,6,0.9830103516578674,525.0,412.0,52500.0,8,0,0
"[595, 398, 648, 397, 648, 423, 595, 424]",27,53,quadrilateral,local,7,0.9764937162399292,621.5,410.5,62150.0,8,0,0
"[665, 397, 776, 396, 776, 423, 665, 424]",28,111,quadrilateral,B.W.T.A.,8,0.9768785834312439,720.5,410.0,72050.0,8,0,0
"[777, 397, 786, 397, 786, 423, 777, 423]",26,9,quadrilateral,),9,0.9946298599243164,781.5,410.0,78150.0,8,0,0
"[801, 396, 867, 395, 867, 422, 801, 423]",28,66,quadrilateral,spoke,10,0.9944090247154236,834.0,409.0,83400.0,8,0,0
"[885, 395, 909, 395, 909, 421, 885, 421]",26,24,quadrilateral,of,11,0.9927152395248413,897.0,408.0,89700.0,8,0,0
"[926, 395, 1062, 394, 1062, 420, 926, 421]",27,136,quadrilateral,temperance,12,0.9866305589675903,994.0,407.5,99400.0,8,0,0
"[1079, 393, 1177, 392, 1177, 419, 1079, 420]",28,98,quadrilateral,progress,13,0.9937280416488647,1128.0,406.0,112800.0,8,0,0
"[1194, 392, 1218, 392, 1218, 418, 1194, 418]",26,24,quadrilateral,in,14,0.9789254069328308,1206.0,405.0,120600.0,8,0,0
"[385, 428, 436, 427, 436, 453, 385, 454]",27,51,quadrilateral,New,15,0.9927655458450317,410.5,440.5,41050.0,8,0,0
"[450, 427, 544, 426, 544, 452, 450, 453]",27,94,quadrilateral,Zealand,16,0.9915603995323181,497.0,439.5,49700.0,8,0,0
"[544, 426, 550, 426, 550, 451, 544, 451]",25,6,quadrilateral,",",17,0.9525846838951111,547.0,438.5,54700.0,8,0,0
"[568, 425, 606, 424, 606, 450, 568, 451]",27,38,quadrilateral,Dr.,18,0.9726369380950928,587.0,437.5,58700.0,8,0,0
"[625, 424, 714, 423, 714, 449, 625, 450]",27,89,quadrilateral,Stewart,19,0.9822540283203125,669.5,436.5,66950.0,8,0,0
"[715, 423, 724, 423, 724, 448, 715, 448]",25,9,quadrilateral,-,20,0.9802054166793823,719.5,435.5,71950.0,8,0,0
"[725, 423, 811, 422, 811, 448, 725, 449]",27,86,quadrilateral,Billings,21,0.9864477515220642,768.0,435.5,76800.0,8,0,0
"[827, 421, 867, 420, 867, 446, 827, 447]",27,40,quadrilateral,put,22,0.9928654432296753,847.0,433.5,84700.0,8,0,0
"[881, 420, 921, 419, 921, 445, 881, 446]",27,40,quadrilateral,the,23,0.9910870790481567,901.0,432.5,90100.0,8,0,0
"[936, 420, 1025, 419, 1025, 444, 936, 445]",26,89,quadrilateral,medical,24,0.9954020977020264,980.5,432.0,98050.0,8,0,0
"[1040, 418, 1141, 416, 1141, 442, 1040, 444]",28,101,quadrilateral,woman's,25,0.9909605383872986,1090.5,430.0,109050.0,8,0,0
"[1155, 416, 1219, 415, 1219, 441, 1155, 442]",27,64,quadrilateral,point,26,0.9832273721694946,1187.0,428.5,118700.0,8,0,0
"[386, 451, 409, 451, 409, 477, 386, 477]",26,23,quadrilateral,of,27,0.9865909814834595,397.5,464.0,39750.0,8,0,0
"[423, 451, 474, 450, 474, 475, 423, 476]",26,51,quadrilateral,view,28,0.9861768484115601,448.5,463.0,44850.0,8,0,0
"[473, 450, 481, 450, 481, 475, 473, 475]",25,8,quadrilateral,",",29,0.9753113985061646,477.0,462.5,47700.0,8,0,0
"[496, 450, 537, 450, 537, 475, 496, 475]",25,41,quadrilateral,and,30,0.9880062341690063,516.5,462.5,51650.0,8,0,0
"[555, 449, 593, 449, 593, 474, 555, 474]",25,38,quadrilateral,the,31,0.9903438687324524,574.0,461.5,57400.0,8,0,0
"[609, 448, 720, 447, 720, 473, 609, 474]",27,111,quadrilateral,Secretary,32,0.990675687789917,664.5,460.5,66450.0,8,0,0
"[734, 447, 828, 446, 828, 472, 734, 473]",27,94,quadrilateral,touched,33,0.9952327609062195,781.0,459.5,78100.0,8,0,0
"[842, 446, 900, 445, 900, 470, 842, 471]",26,58,quadrilateral,upon,34,0.9956655502319336,871.0,458.0,87100.0,8,0,0
"[917, 445, 956, 445, 956, 470, 917, 470]",25,39,quadrilateral,the,35,0.990202784538269,936.5,457.5,93650.0,8,0,0
"[972, 444, 1066, 443, 1066, 469, 972, 470]",27,94,quadrilateral,position,36,0.9892084002494812,1019.0,456.5,101900.0,8,0,0
"[1084, 443, 1108, 443, 1108, 468, 1084, 468]",25,24,quadrilateral,of,37,0.9877969622612,1096.0,455.5,109600.0,8,0,0
"[1121, 442, 1217, 441, 1217, 467, 1121, 468]",27,96,quadrilateral,working,38,0.9928169846534729,1169.0,454.5,116900.0,8,0,0
"[384, 477, 462, 476, 462, 502, 384, 503]",27,78,quadrilateral,women,39,0.9895505905151367,423.0,489.5,42300.0,8,0,0
"[464, 476, 472, 476, 472, 501, 464, 501]",25,8,quadrilateral,.,40,0.9724687337875366,468.0,488.5,46800.0,8,0,0
"[496, 476, 522, 476, 522, 501, 496, 501]",25,26,quadrilateral,In,41,0.9729245901107788,509.0,488.5,50900.0,8,0,0
"[540, 475, 601, 474, 601, 500, 540, 501]",27,61,quadrilateral,reply,42,0.9964618682861328,570.5,487.5,57050.0,8,0,0
"[617, 474, 673, 473, 673, 499, 617, 500]",27,56,quadrilateral,Lord,43,0.9970342516899109,645.0,486.5,64500.0,8,0,0
"[687, 473, 821, 471, 821, 497, 687, 499]",28,134,quadrilateral,Duncannon,44,0.9801675081253052,754.0,485.0,75400.0,8,0,0
"[836, 470, 882, 469, 882, 495, 836, 496]",27,46,quadrilateral,said,45,0.9968808889389038,859.0,482.5,85900.0,8,0,0
"[898, 470, 948, 469, 948, 495, 898, 496]",27,50,quadrilateral,they,46,0.9946823120117188,923.0,482.5,92300.0,8,0,0
"[966, 469, 1010, 468, 1010, 493, 966, 494]",26,44,quadrilateral,had,47,0.989870548248291,988.0,481.0,98800.0,8,0,0
"[1024, 468, 1086, 467, 1086, 493, 1024, 494]",27,62,quadrilateral,quite,48,0.9947533011436462,1055.0,480.5,105500.0,8,0,0
