Date,Location,Raw,Speakers,Hosts,Description,Issue date
MAR . 14,Chelsea,"Chelsea , 308 , King's - road . Miss Evelyn Fox",['Miss Evelyn Fox'],,,"March 14 , 1913"
MAR . 14,Clapham,"Clapham , The Plough . Miss Wylie",['Miss Wylie'],,,"March 14 , 1913"
MAR . 14,Cricklewood,"Cricklewood , Clock Tower "" At Home . "" Chair : Mrs. Miller",,['Mrs. Miller'],,"March 14 , 1913"
MAR . 14,Ilford,Ilford Broadway Chambers . Mr. Reginald Pott . Chair : Mrs. Heard,"['Mr. Reginald Pott', 'Mrs. Heard']",,,"March 14 , 1913"
MAR . 14,Lincoln's Inn House,"Lincoln's Inn House , Kingsway . Speakers Class . Miss Rosa Leo",['Miss Rosa Leo'],,,"March 14 , 1913"
MAR . 14,North Kensington,"North Kensington , Free Library , Ladbroke - grove . Miss Canning . Chair : Miss Haarbleicher","['Miss Canning', 'Miss Haarbleicher']",,,"March 14 , 1913"
MAR . 14,Sloane-square,Sloane - square . Mrs. Dacre Fox,['Mrs. Dacre Fox'],,,"March 14 , 1913"
MAR . 14,St. John's Wood,"St. John's Wood , 43 , Hamilton - terrace . Evelyn Sharp . Mr. H. Baillie Weaver . Hostess : Mrs. Henry Morris","['Evelyn Sharp', 'Mr. H. Baillie Weaver', 'Mrs. Henry Morris']",,,"March 14 , 1913"
MAR . 14,Wormwood Scrubbs Prison,"Wormwood Scrubbs Prison ( outside ) . Mr. A. Billinghurst , M. Wright","['Mr. A. Billinghurst', 'M. Wright']",,( outside ),"March 14 , 1913"
MAR . 15,Bow,"Bow , St. Stephen's - rond . Procession forms up 5.15 . Prison",,,Procession forms up 5.15. Prison,"March 14 , 1913"
MAR . 15,Chelsea,Chelsea . Miss P. Ayrton,['Miss P. Ayrton'],,,"March 14 , 1913"
MAR . 15,Holloway,"Holloway "" Y """,,,"""Y""","March 14 , 1913"
MAR . 15,Chiswick,"Chiswick , Duke's - road . Miss Meakin",['Miss Meakin'],,,"March 14 , 1913"
MAR . 15,Harlesden,"Harlesden , Maner - park - road",,,Maner-park-road,"March 14 , 1913"
MAR . 15,Ilford,"Ilford , Balfour - road . Miss Hopkins",['Miss Hopkins'],,,"March 14 , 1913"
MAR . 15,Kingston,Kingston . Church - street . Miss M. Wright . Chair : Mrs. Fox,"['Miss M. Wright', 'Mrs. Fox']",,,"March 14 , 1913"
MAR . 15,Palmer's Green,"Palmer's Green , Avondale Hall . Cake and Candy Sale",,,Cake and Candy Sale,"March 14 , 1913"
MAR . 15,Stepney,"Stepney , Mile - end Waste . Miss Bonwiek , B.A.",['Miss Bonwiek'],,,"March 14 , 1913"
MAR . 15,Walthamstow,"Walthamstow , Church - hill . Mrs. Bouvier . Chair : Mrs. Gladman","['Mrs. Bouvier', 'Mrs. Gladman']",,,"March 14 , 1913"
MAR . 15,West Ham,"West Ham , Maryland - point . Miss N. Lightman",['Miss N. Lightman'],,,"March 14 , 1913"
MAR . 15,Willesden Green,Willesden Green Library,,,Library,"March 14 , 1913"
MAR . 15,Wimbledon,Wimbledon Broadway . Miss Elsa Myers,['Miss Elsa Myers'],,,"March 14 , 1913"
MAR . 16,Hampstead Heath,"Hampstead Heath , Flagstaff . Mrs. Dacre Fox , Miss M. Rogers","['Mrs. Dacre Fox', 'Miss M. Rogers']",,,"March 14 , 1913"
MAR . 16,Hyde Park,"Hyde Park , west side of Marble Arch , Bayswater - road . Drummond , Mrs. Dagre Fox","['Drummond', 'Mrs. Dagre Fox']",,,"March 14 , 1913"
MAR . 16,Regent's Park,"Regent's Park . Mr. E. Duval , Miss Naylor","['Mr. E. Duval', 'Miss Naylor']",,,"March 14 , 1913"
MAR . 16,Victoria Park,"Victoria Park . M.F.W.S. Mr. F. D. Fox , Dr. A. D. Macpherson Mr. V. Prout , Mr. W. A. Willox .","['Mr. F. D. Fox', 'Dr. A. D. Macpherson', 'Mr. V. Prout', 'Mr. W. A. Willox']",,,"March 14 , 1913"
MAR . 17,Bow,"Bow , Tredegar - road , Out - and - Out Mission Hall . Speakers Class , 7.45 p.m.",,,"Speakers Class, 7.45 p.m.","March 14 , 1913"
MAR . 17,London Pavilion,"London Pavilion , Piccadilly - circus , W. Mrs. Pankhurst , Miss Annie Kenney , Miss Naylor","['Mrs. Pankhurst', 'Miss Annie Kenney', 'Miss Naylor']",,,"March 14 , 1913"
MAR . 17,Ludgate-circus,"Ludgate - circus , Memorial Hall . M.F.W.S. Demonstration to Demand a Government Measure . Professor Bickerton , Dr. Hochman , Mr. George Lansbury , Mr. Mansell - Moullin Chair Mr. Mark Wilks","['Professor Bickerton', 'Dr. Hochman', 'Mr. George Lansbury', 'Mr. Mansell-Moullin', 'Mr. Mark Wilks']",,M.F.W.S. Demonstration to Demand a Government Measure.,"March 14 , 1913"
MAR . 17,Willesden Green,"Willesden Green , 148 , High - road , B.S.P. Club . Mrs. Penn Gaskell . Mrs. Pankhurst","['Mrs. Penn Gaskell', 'Mrs. Pankhurst']",,,"March 14 , 1913"
MAR . 18,Clapham,"Clapham , Morris Hall , Old Town . Women's Meeting . Mrs. Duval , Mrs. Barron","['Mrs. Duval', 'Mrs. Barron']",,Women's Meeting,"March 14 , 1913"
MAR . 18,Hammersmith,"Hammersmith , 95 , The Grove . Debate . Miss G. Richard and others",['Miss G. Richard'],,Debate,"March 14 , 1913"
MAR . 18,Ilford,"Ilford , outside Town Hall . Protest Meeting . Miss Harvey , Miss Haslam and others .","['Miss Harvey', 'Miss Haslam']",,Protest Meeting. (outside Town Hall),"March 14 , 1913"
MAR . 18,Palmer's Green,"Palmer's Green , 6 , Stonard - road . Fireside Talks",,,Fireside Talks,"March 14 , 1913"
MAR . 18,North Kensington,"North Kensington , Free Library , Ladbroke - grove . Miss Seymour",['Miss Seymour'],,,"March 14 , 1913"
MAR . 20,Kilburn,"Kilburn , 310 , High - road . Miss Winifred Holiday , Miss Verden , and others .","['Miss Winifred Holiday', 'Miss Verden']",,,"March 14 , 1913"
MAR . 20,West Ham,"West Ham , Workmen's Hall . Shop Assistants ' Union . Mr. P. R. Friedlaender",['Mr. P.R. Friedlaender'],,,"March 14 , 1913"
MAR . 19,Balham,"Balham , High - road , Bijou Hall . Miss Naylor . Chair : Mrs. Mollie","['Miss Naylor', 'Mrs. Mollie']",,,"March 14 , 1913"
MAR . 19,Ilford,"Ilford , Barking . New Town Hall . Miss Harvey",['Miss Harvey'],,,"March 14 , 1913"
MAR . 14,Barry,"Barry . "" At Home . "" Miss Annie Williams",['Miss Annie Williams'],,"""At Home""","March 14 , 1913"
MAR . 14,Brighton,"Brighton , 8 , North - street Quadrant . Cake and Candy Sale",,,Cake and Candy Sale,"March 14 , 1913"
MAR . 14,Dundee,"Dundee , High School Gates Miss Grant",['Miss Grant'],,,"March 14 , 1913"
MAR . 14,Edinburgh,"Edinburgh , Synod Hall . Mr. Pankhurst . Mr. Henry Harben Chair : Dr. Alice Ker","['Mr. Pankhurst', 'Mr. Henry Harben', 'Dr. Alice Ker']",,,"March 14 , 1913"
