Date,Location,Raw,Speakers,Issue date
APRIL 18,New Brighton - Green Tea Room- ( Wallasey and Wirral Society ),"New Brighton - Green Tea Room- ( Wallasey and Wirral Society ) -Miss Jessie Beavan -Chair , Mrs. Masters","['Miss Jessie Beavan', 'Mrs. Masters, Chair: Dr. Ethel Williams', 'Miss I. S. A. Newcastle Beaver', 'Miss Dutton', 'The Rev. T. E. Ellgood', 'Miss Colman', 'Debenham', ""Foresters' Hall Miss Waring, B.A."", 'Miss Garlich', 'Mrs. Renton', 'Miss Margaret Robertson', 'Ald. F. Sheppard, J.P.', ""Mr. J. O'Grady, M.P."", 'Mr. R. C. Wallhead', 'Councillor Ayles', 'Baretti', 'etc.', 'Miss Wright', 'Recitations: Miss Hawes', 'Miss Agnes Dawson', 'Mrs. Swanwick', 'M. T. Richardson, M.P.', 'Mrs. Annott Robinson', 'Mrs. A. Nield', 'Mrs. R. Durand', 'Miss Abadam', 'Mrs. Ashby Corbett', 'Mr. Cameron Grant', 'Miss S. M. Foley', 'The Earl of Lytton', 'Marchioness of Downshire', ""the Actresses' Franchise League"", 'Miss Coast', 'Mrs. W. T. Griffiths', 'Mrs. F. A. Steel', 'Mrs. John Aikin', 'Miss Sheard', 'Miss Tanner', 'Mrs. Willis', 'Mr. Stephen Walsh, M.P.', 'Mrs. Müter Wilson', 'Miss J. Bisset Smith', 'Miss A. Hibbert-Ware', 'Mrs. Ronald Garrett', 'Mrs. Garrett', 'Mrs. Henry Fawcett, LL.D.', 'Miss Anna Martin, B.A.', 'Mrs. Candey', 'Mrs. Gimingham, M.A.', 'Miss Ruth Young', 'Mrs. Summers', 'Captain Furber', 'Mr. Maurice Liverman', 'Mrs. Bartram', 'The Ven. Archdeacon Escreet', 'Miss Sterling', 'Miss M. Fielden', 'Miss F. M. Hewitt', 'Miss Muriel Matters', 'Miss Alice Low', 'Miss W. Kerr', 'Miss Kirby', 'Dr. Jane Robertson', 'Councillor R. Richardson', 'Rev. Claude Hinscliff', 'Mrs. Despard', 'Mrs. Merivale Mayer', 'Miss Nina Boyle', 'Miss Adamson, B.Sc.', 'Major Boileau', 'Dr. Norburn', 'Miss Tanner', 'Mr. Hartley', 'Mr. Thomas Howorth', 'Mr. Mackinlay', 'Mr. Goldberg', 'Mr. F. J. K. Cross', 'Dr. Sydney Gilford', 'Mr. Munro', 'Miss Helen Waddel', 'Mrs. Laird', 'Mr. Ballantyne', 'Dr. Elsie Inglis', 'Mr. Robert Cumming', 'Mrs. Jackson', 'Miss Gordon', 'Miss Stuart Paterson', 'Miss Jarvis', 'Mrs. Kelsall', 'Dr. Jane Robert-son', 'Miss M. Kerr', 'Mrs. Kent', 'Miss Jessie Beavan', 'Miss Wyse', 'Miss Tomkinson', 'Miss Eskrigge', 'Miss Stewart', 'Mrs. Harley', 'Miss Chubb', 'Mrs. Egerton Stewart Braun', 'Miss Eleanor Rathbone', 'Mrs. Herbert Jenkins', 'Mr. Phillips', 'Mrs. Lowry', 'Miss E. F. McPherson', 'Dr. Katherine Drinkwater', 'Miss Wadsworth', 'Mr. Hubert Drinkwater, M.D.', 'Mrs. Catt', 'Miss Dutton', 'Dr. Laura Veale', 'Mrs. Handcock', 'Miss Alice Thompson', 'Mrs. Cunliffe', 'Col. Mair, J.P.', 'Miss G. W. Evans', 'Miss Coyle', 'Miss Ellis', 'Rev. W. G. Clark-Maxwell', 'Miss Southwell', 'Mr. Cooper', 'Miss Geraldine Cooke', 'Miss Annie Jackson', 'Mrs. Kitching', 'Mrs. de Mirimonde', 'Mrs. Proctor', 'Mrs. K. E. T. Wilkinson', 'Mrs. Gray', 'Miss I. O. Ford', 'Mrs. Meyer', 'Mrs. Newcombe', 'Mr. Garside', 'Miss Sharp', 'Mr. L. Sanderson, M.P.']","APRIL 18 , 1913"
APRIL 18,Aysgarth National School,"Aysgarth National School - Speaker , Miss Dutton- Chair , The Rev. T. E. Ellgood .",,"APRIL 18 , 1913"
APRIL 18,"Birmingham - Franchise Club , 10 , Easy Row","Birmingham - Franchise Club , 10 , Easy Row",,"APRIL 18 , 1913"
APRIL 18,Sheffield - Nether Sohoolroom,Sheffield - Nether Sohoolroom - American tea and Annual Meeting,,"APRIL 18 , 1913"
APRIL 18,East Bristol,"East Bristol - Women's Suffrage and Labour Campaign April 18-26 - Speakers , Miss Margaret Robertson , Ald . F. Sheppard , J.P. , Mr. J. O'Grady , M.P. , Mr. R. C. Wallhead , Councillor Ayles , Baretti , etc. - Meetings to commence",,"APRIL 18 , 1913"
APRIL 18,Oddfellows' Hall,"Oddfellows ' Hall- Speaker , Camberley",,"APRIL 18 , 1913"
APRIL 19,The Institute,"The Institute - Primrose League- Speaker , Miss Dutton .",,"APRIL 18 , 1913"
APRIL 19,Camberley - Porterberg Hall,"Camberley - Porterberg Hall - Miss Agnes Dawson , "" Why Women Teachers need Votes . """,,"APRIL 18 , 1913"
APRIL 21,Hereford - Peroival Hall,"Hereford - Percival Hall - Public meeting ( women only ) Miss Abadam , "" White Slave Traffic "" -Chair , Mrs. Lilley",,"APRIL 18 , 1913"
APRIL 21,"Birkenhead - Egerton House , Rockferry","Birkenhead - Egerton House , Rockferry - Hostess , Mrs. Winder - Drawing - room meeting -Chair , Mrs. Hodgson , P.L.G.- Speaker , Miss J. Beavan",,"APRIL 18 , 1913"
