Date,Location,Raw,Speakers,Issue date
April 20,"Knightsbridge Hall , W.","Knightsbridge Hall , W. Mrs. Man- sel , Miss Marie Naylor . Mrs Drummond","['Mrs. Mansel', 'Miss Marie Naylor']","April 17 , 1914"
April 23,"Portman Rooms , Baker Street , W.","Portman Rooms , Baker Street , W. The Rev. W. A. H. Collisson , Miss Gwen Richard . Miss D. Gordon","['Rev. W. A. H. Collisson', 'Miss Gwen Richard']","April 17 , 1914"
April 21,"Bournemouth , Freedom Hall , Loughtonhurst , West Cliff Gardens","Bournemouth , Freedom Hall , Loughtenhurst , West Cliff Gardens , Mrs. Penn Gaskell",['Mrs. Penn Gaskell'],"April 17 , 1914"
April 21,"Bournemouth , Surrey Road , South Westbourne","Bournemouth , Surrey Road , South Westbourne . Mrs. Penn Caskell",['Mrs. Penn Caskell'],"April 17 , 1914"
April 22,Rochester,"Rochester ; speaker , Miss Margot Douglas .",['Miss Margot Douglas'],"April 17 , 1914"
April 22,"Glasgow , Lesser Town Hall , Springburn","Glasgow , Lesser Town Hall , Springburn . Miss Margaret Wright . Dr. Marion Gilchrist",['Miss Margaret Wright'],"April 17 , 1914"
April 23,"Kilburn , Lecture Room , 310 , High Road","Kilburn , Lecture Room , 310 , High Road . Miss E. Wylie , Mr. D. Caddick","['Miss E. Wylie', 'Mr. D. Caddick']","April 17 , 1914"
April 23,"West Ham , Workmen's Hall , Stratford","West Ham , Workmen's Hall , Stratford . Miss Bonwick , Dr. Frank Moxon , Miss Rogers","['Miss Bonwick', 'Dr. Frank Moxon', 'Miss Rogers']","April 17 , 1914"
"Halifax , Lecture Room , Victoria Hall",April 21,"Halifax , Lecture Room , Victoria Hall . Mrs. Drummond . Rev. N. R. Barrie",,"April 17 , 1914"
