points,height,width,block_type,text,id,score,x_center,y_center,x_center_100x,scan,page,column
"[497, 269, 546, 271, 545, 292, 496, 290]",23,50,quadrilateral,312,0,0.9891467094421387,521.0,280.5,52100.0,3,0,0
"[832, 657, 844, 657, 844, 667, 832, 667]",10,12,quadrilateral,6,1,0.3176075220108032,838.0,662.0,83800.0,3,0,0
"[1071, 259, 1165, 259, 1165, 289, 1071, 289]",30,94,quadrilateral,THE,2,0.9914062023162842,1118.0,274.0,111800.0,3,0,0
"[1188, 259, 1384, 260, 1384, 291, 1188, 290]",32,196,quadrilateral,COMMON,3,0.9895815253257751,1286.0,275.0,128600.0,3,0,0
"[1409, 260, 1551, 261, 1551, 292, 1409, 291]",32,142,quadrilateral,CAUSE,4,0.9831258058547974,1480.0,276.0,148000.0,3,0,1
"[1556, 261, 1566, 261, 1566, 291, 1556, 291]",30,10,quadrilateral,.,5,0.7779674530029297,1561.0,276.0,156100.0,3,0,1
"[458, 342, 617, 342, 617, 378, 458, 378]",36,159,quadrilateral,authorities,6,0.9880369901657104,537.5,360.0,53750.0,3,0,0
"[631, 342, 702, 342, 702, 378, 631, 378]",36,71,quadrilateral,have,7,0.990091860294342,666.5,360.0,66650.0,3,0,0
"[712, 342, 860, 342, 860, 378, 712, 378]",36,148,quadrilateral,prevented,8,0.9916876554489136,786.0,360.0,78600.0,3,0,0
"[873, 342, 945, 342, 945, 378, 873, 378]",36,72,quadrilateral,from,9,0.9917259216308594,909.0,360.0,90900.0,3,0,0
"[955, 342, 1067, 342, 1067, 378, 955, 378]",36,112,quadrilateral,earning,10,0.9713364839553833,1011.0,360.0,101100.0,3,0,0
"[1080, 342, 1146, 342, 1146, 378, 1080, 378]",36,66,quadrilateral,they,11,0.9921127557754517,1113.0,360.0,111300.0,3,0,0
"[1159, 342, 1204, 342, 1204, 378, 1159, 378]",36,45,quadrilateral,are,12,0.990183413028717,1181.5,360.0,118150.0,3,0,0
"[1216, 342, 1298, 342, 1298, 378, 1216, 378]",36,82,quadrilateral,going,13,0.9940251111984253,1257.0,360.0,125700.0,3,0,0
"[457, 376, 489, 376, 489, 408, 457, 408]",32,32,quadrilateral,to,14,0.9907846450805664,473.0,392.0,47300.0,3,0,0
"[503, 376, 557, 376, 557, 408, 503, 408]",32,54,quadrilateral,fine,15,0.9885449409484863,530.0,392.0,53000.0,3,0,0
"[573, 376, 617, 376, 617, 408, 573, 408]",32,44,quadrilateral,for,16,0.9945434927940369,595.0,392.0,59500.0,3,0,0
"[633, 376, 715, 376, 715, 408, 633, 408]",32,82,quadrilateral,being,17,0.9930991530418396,674.0,392.0,67400.0,3,0,0
"[731, 376, 882, 376, 882, 408, 731, 408]",32,151,quadrilateral,dependent,18,0.9825814366340637,806.5,392.0,80650.0,3,0,0
"[886, 376, 893, 376, 893, 408, 886, 408]",32,7,quadrilateral,.,19,0.9557914733886719,889.5,392.0,88950.0,3,0,0
"[928, 376, 1003, 376, 1003, 408, 928, 408]",32,75,quadrilateral,Take,20,0.9909708499908447,965.5,392.0,96550.0,3,0,0
"[1020, 376, 1039, 376, 1039, 408, 1020, 408]",32,19,quadrilateral,a,21,0.9953335523605347,1029.5,392.0,102950.0,3,0,0
"[1053, 376, 1213, 376, 1213, 408, 1053, 408]",32,160,quadrilateral,prosperous,22,0.9829765558242798,1133.0,392.0,113300.0,3,0,0
"[1231, 376, 1296, 376, 1296, 408, 1231, 408]",32,65,quadrilateral,man,23,0.9923045039176941,1263.5,392.0,126350.0,3,0,0
"[453, 407, 562, 408, 562, 442, 453, 441]",35,109,quadrilateral,leaving,24,0.9855915307998657,507.5,424.5,50750.0,3,0,0
"[574, 407, 615, 407, 615, 441, 574, 441]",34,41,quadrilateral,his,25,0.9815964102745056,594.5,424.0,59450.0,3,0,0
"[628, 407, 748, 408, 748, 443, 628, 442]",36,120,quadrilateral,business,26,0.9909975528717041,688.0,425.0,68800.0,3,0,0
"[761, 408, 791, 408, 791, 442, 761, 442]",34,30,quadrilateral,to,27,0.988579511642456,776.0,425.0,77600.0,3,0,0
"[803, 408, 843, 408, 843, 442, 803, 442]",34,40,quadrilateral,his,28,0.9865854382514954,823.0,425.0,82300.0,3,0,0
"[857, 408, 906, 408, 906, 443, 857, 443]",35,49,quadrilateral,son,29,0.9778633713722229,881.5,425.5,88150.0,3,0,0
"[905, 409, 913, 409, 913, 443, 905, 443]",34,8,quadrilateral,",",30,0.9725683331489563,909.0,426.0,90900.0,3,0,0
"[926, 409, 981, 409, 981, 443, 926, 443]",34,55,quadrilateral,and,31,0.980440616607666,953.5,426.0,95350.0,3,0,0
"[994, 409, 1011, 409, 1011, 443, 994, 443]",34,17,quadrilateral,a,32,0.9946666955947876,1002.5,426.0,100250.0,3,0,0
"[1024, 409, 1100, 409, 1100, 444, 1024, 444]",35,76,quadrilateral,small,33,0.9870109558105469,1062.0,426.5,106200.0,3,0,0
"[1112, 409, 1293, 410, 1293, 445, 1112, 444]",36,181,quadrilateral,independent,34,0.9898452162742615,1202.5,427.0,120250.0,3,0,0
"[455, 447, 559, 447, 559, 478, 455, 478]",31,104,quadrilateral,income,35,0.9866766929626465,507.0,462.5,50700.0,3,0,0
"[577, 447, 606, 447, 606, 478, 577, 478]",31,29,quadrilateral,to,36,0.993395209312439,591.5,462.5,59150.0,3,0,0
"[623, 447, 665, 447, 665, 478, 623, 478]",31,42,quadrilateral,his,37,0.992725670337677,644.0,462.5,64400.0,3,0,0
"[681, 447, 815, 447, 815, 478, 681, 478]",31,134,quadrilateral,daughter,38,0.9941942095756531,748.0,462.5,74800.0,3,0,0
"[816, 447, 824, 447, 824, 478, 816, 478]",31,8,quadrilateral,.,39,0.9810535907745361,820.0,462.5,82000.0,3,0,0
"[859, 447, 916, 447, 916, 478, 859, 478]",31,57,quadrilateral,The,40,0.990005373954773,887.5,462.5,88750.0,3,0,0
"[933, 447, 983, 447, 983, 478, 933, 478]",31,50,quadrilateral,son,41,0.980599045753479,958.0,462.5,95800.0,3,0,0
"[998, 447, 1074, 447, 1074, 478, 998, 478]",31,76,quadrilateral,earns,42,0.9924192428588867,1036.0,462.5,103600.0,3,0,0
"[1093, 447, 1208, 447, 1208, 478, 1093, 478]",31,115,quadrilateral,perhaps,43,0.9913724064826965,1150.5,462.5,115050.0,3,0,0
"[1225, 447, 1242, 447, 1242, 478, 1225, 478]",31,17,quadrilateral,£,44,0.8658357262611389,1233.5,462.5,123350.0,3,0,0
"[1243, 447, 1295, 447, 1295, 478, 1243, 478]",31,52,quadrilateral,800,45,0.9518918991088867,1269.0,462.5,126900.0,3,0,0
"[455, 481, 474, 481, 474, 513, 455, 513]",32,19,quadrilateral,a,46,0.9837316870689392,464.5,497.0,46450.0,3,0,0
"[482, 481, 549, 481, 549, 513, 482, 513]",32,67,quadrilateral,year,47,0.9936786890029907,515.5,497.0,51550.0,3,0,0
"[557, 481, 587, 481, 587, 513, 557, 513]",32,30,quadrilateral,in,48,0.9903935790061951,572.0,497.0,57200.0,3,0,0
"[596, 481, 645, 481, 645, 513, 596, 513]",32,49,quadrilateral,the,49,0.9929015040397644,620.5,497.0,62050.0,3,0,0
"[654, 481, 774, 481, 774, 513, 654, 513]",32,120,quadrilateral,business,50,0.9821972846984863,714.0,497.0,71400.0,3,0,0
"[775, 481, 783, 481, 783, 513, 775, 513]",32,8,quadrilateral,",",51,0.9517611265182495,779.0,497.0,77900.0,3,0,0
