Date,Location,Raw,Issue date
Every day,"8, Hatherley Grove, Westbourne Grove","Paddington - 8, Hatherley Grove, Westbourne Grove (by kind permission f Messrs. William Owen, Ltd.) - Working Party for London Units of the N.U.W.S.S. Scottish Women's Hospitals Every day, 11 a.m. to 4 p.m.",1915-08-13
Tuesday,"8, Shooter's Hill Road","Blackheath Sewing Party for Scottish Women's Hospital - Tuesday, 2 to 6, at 8, Shooter's Hill Road - Hostess, Mrs. Monk.",1915-08-13
