Date,Location,Raw,Speakers,Description,Hosts,Issue date
SEPTEMBER 5,Scarborough - Esplanade Gardens,Scarborough - Esplanade Gardens - Mrs . Renton,['Mrs. Renton'],,,"SEPTEMBER 5 , 1912"
SEPTEMBER 5,Spennymoor,Spennymoor - open air meeting - Miss C. M. Gordon,['Miss C. M. Gordon'],open air meeting,,"SEPTEMBER 5 , 1912"
SEPTEMBER 6,Scarborough - Clarence Drive,Scarborough - Clarence Drive - Mrs . Renton,['Mrs. Renton'],,,"SEPTEMBER 5 , 1912"
SEPTEMBER 7,Scarborough - East Pier,Scarborough - East Pier - Mrs Renton,['Mrs. Renton'],,,"SEPTEMBER 5 , 1912"
SEPTEMBER 7,Sheffield,Sheffield Mrs. O. M. Doncaster's Garden Party- Miss St. John,['Miss St. John'],Mrs. O. M. Doncaster's Garden Party,,"SEPTEMBER 5 , 1912"
SEPTEMBER 10,Thornton Dale - Village Cross,Thornton Dale - Village Cross - Mrs . Renton,['Mrs. Renton'],,,"SEPTEMBER 5 , 1912"
SEPTEMBER 11,Scarborough - Clarence Drive,Scarborough - Clarence Drive - Mrs . Renton,['Mrs. Renton'],,,"SEPTEMBER 5 , 1912"
SEPTEMBER 11,Scalby - Temperance Hall,Scalby - Temperance Hall - Mrs . Renton,['Mrs. Renton'],,,"SEPTEMBER 5 , 1912"
SEPTEMBER 12,"Dublin - 33, Molesworth Street","Dublin - 33 , Molesworth Street - Irish W.S. , and Local Government Association Com- mittee meeting",,"Irish W.S., and Local Government Association Committee meeting",,"SEPTEMBER 5 , 1912"
SEPTEMBER 5,"S. Paddington - 75, Hereford Road, W.","S. Paddington - 75 , Hereford Road , W. - Sewing Meeting",,Sewing Meeting,,"SEPTEMBER 5 , 1912"
SEPTEMBER 7,Muswell Hill The Exchange,Muswell Hill The Exchange - open air meeting,,open air meeting,,"SEPTEMBER 5 , 1912"
SEPTEMBER 7,Norwood - Suffrage Offices,"Norwood - Suffrage Offices - Miss E. Green , Miss L. Tyson","['Miss E. Green', 'Miss L. Tyson']",,,"SEPTEMBER 5 , 1912"
SEPTEMBER 9,"N. Paddington - 47a, Clifton Gardens, Maida Vale","N. Paddington - 47a , Clifton Gardens , Maida Vale- Sewing meeting",,Sewing meeting,,"SEPTEMBER 5 , 1912"
SEPTEMBER 9,"Battersea Women's Adult School, Congregational Church Schoolroom, Bridge Road","Battersea Women's Adult School , Congregational Church Schoolroom , Bridge Road- Miss Rinder",['Miss Rinder'],,,"SEPTEMBER 5 , 1912"
SEPTEMBER 10,Canning Town - Lees Hall,Canning Town - Lees Hall - Women's Co - operative Guild - Miss Helen Ward,['Miss Helen Ward'],,"[""Women's Co-operative Guild""]","SEPTEMBER 5 , 1912"
SEPTEMBER 12,"8 Paddington - 75, Hereford Road, W.","8 Paddington - 75 , Hereford Road , W. - Sewing Meeting",,Sewing Meeting,,"SEPTEMBER 5 , 1912"
SEPTEMBER 16,"N. Paddington - 47a, Clifton Gardens, Maida Vale","N. Paddington - 47a , Clifton Gardens , Maida Vale- Sewing meeting",,Sewing meeting,,"SEPTEMBER 5 , 1912"
SEPTEMBER 16,Stepney - Stepney Meeting House,Stepney - Stepney Meeting House - London Young Liberal Federation - Miss Ransom,['Miss Ransom'],,['London Young Liberal Federation'],"SEPTEMBER 5 , 1912"
SEPTEMBER 17,Abbey Wood,Abbey Wood - Women's Co - operative Guild,,,"[""Women's Co-operative Guild""]","SEPTEMBER 5 , 1912"
SEPTEMBER 6,Dundee Gilfillan Hall,"Dundee Gilfillan Hall - Sir Victor Horsley , F.R.S. , Prof. B. Moore , Prof. R. Latta , Prof. F. E. Weiss , Prof. P. Geddes , and other members of the British Associa tion .","['Sir Victor Horsley', 'Prof. B. Moore', 'Prof. R. Latta', 'Prof. F. E. Weiss', 'Prof. P. Geddes', 'other members of the British Association']",,,"SEPTEMBER 5 , 1912"
SEPTEMBER 10,Broughty Ferry Helenslea,"Broughty Ferry Helenslea - Mrs . and Miss Stephen's Garden Party - Vice Chancellor Sadler , Prof. H. H. Turner F.R.S. , Prof. S. J. Chapman , Miss I. Lumsden , and other members of the British Association .","['Vice Chancellor Sadler', 'Prof. H. H. Turner', 'Prof. S. J. Chapman', 'Miss I. Lumsden', 'other members of the British Association']",Mrs. and Miss Stephen's Garden Party,,"SEPTEMBER 5 , 1912"
SEPTEMBER 18,Aberdeen,"Aberdeen - Lady Cowdray's Garden Party - The Lady Frances Balfour , Lady Abercon- way","['The Lady Frances Balfour', 'Lady Aberconway']",Lady Cowdray's Garden Party,,"SEPTEMBER 5 , 1912"
